mes_anio,ordenes,ventas
2024-05,11233,510482.7
2024-04,18687,861620.72
2024-03,19426,907287.87
2024-02,18042,829256.95
2024-01,19315,898152.2
2023-12,19490,887321.3
2023-11,18849,875200.57
2023-10,19407,887441.97
2023-09,18823,864206.66
2023-08,19278,896754.04
2023-07,19579,903910.19
2023-06,18579,837610.8
2023-05,19301,878729.94
2023-04,18599,871047.18
2023-03,19658,909664.48
2023-02,17601,814206.82
2023-01,19310,881752.6
2022-12,19230,875346.75
2022-11,18787,858624.53
2022-10,19246,880134.66
2022-09,18681,872123.36
2022-08,19193,893385.06
2022-07,19333,884119.02
2022-06,18919,880042.42
2022-05,19444,914308.36
2022-04,18775,871090.41
2022-03,19384,894045.82
2022-02,17382,805591.39
2022-01,19444,894668.93
2021-12,19230,893946.26
2021-11,18875,871464.35
2021-10,19390,889388.48
2021-09,18591,854024.6
2021-08,19281,899473.38
2021-07,19605,900902.65
2021-06,18864,875514.09
2021-05,19318,892640.65
2021-04,18734,850049.11
2021-03,19482,886746.46
2021-02,17481,811144.47
2021-01,19447,884639.51
2020-12,19381,883206.66
2020-11,18982,884756.57
2020-10,19148,888268.63
2020-09,18743,869367.02
2020-08,19362,886379.02
2020-07,19309,881874.83
2020-06,18855,867571.66
2020-05,19060,883091.01
2020-04,18855,873196.6
2020-03,19328,904405.87
2020-02,18198,837995.15
2020-01,19486,893544.74
