anio,nombre_carrera,total_postulantes,total_ingresantes,tasa_ingreso_pct
2025,INGENIERÍA DE TELECOMUNICACIONES,15,15,100.0
2025,INGENIERÍA METALURGICA,15,15,100.0
2025,INGENIERÍA DE PETROLEO Y GAS NATURAL,15,15,100.0
2024,CIENCIA DE LA COMPUTACIÓN,17,17,100.0
2024,INGENIERÍA DE PETROLEO Y GAS NATURAL,17,17,100.0
2025,INGENIERÍA DE CIBERSEGURIDAD,12,12,100.0
2024,MATEMÁTICA,12,12,100.0
2025,INGENIERÍA ELECTRONICA,12,12,100.0
2025,INGENIERÍA AEROESPACIAL,12,12,100.0
2025,INGENIERÍA ELÉCTRICA,12,12,100.0
2024,INGENIERÍA PETROQUIMICA,12,12,100.0
2025,INGENIERÍA DE HIGIENE Y SEGURIDAD INDUSTRIAL,25,25,100.0
2024,INGENIERÍA DE MINAS,25,25,100.0
2024,INGENIERÍA DE CIBERSEGURIDAD,34,34,100.0
2024,INGENIERÍA METALURGICA,34,34,100.0
2024,INGENIERÍA GEOLOGICA,24,24,100.0
2025,INGENIERÍA SANITARIA,24,24,100.0
2025,INGENIERÍA MECÁNICA ELÉCTRICA,24,24,100.0
2025,INGENIERÍA FÍSICA,13,13,100.0
2025,INGENIERÍA TEXTIL,13,13,100.0
2025,CIENCIA DE LA COMPUTACIÓN,13,13,100.0
2024,INGENIERÍA FÍSICA,19,19,100.0
2025,INGENIERIA AMBIENTAL,19,19,100.0
2024,INGENIERÍA TEXTIL,19,19,100.0
2024,INGENIERÍA ELECTRONICA,29,29,100.0
2024,INGENIERÍA DE SOFTWARE,29,29,100.0
2025,INGENIERÍA NAVAL,11,11,100.0
2024,QUÍMICA,11,11,100.0
2025,MATEMÁTICA,11,11,100.0
2025,INGENIERÍA DE SOFTWARE,11,11,100.0
2024,INGENIERÍA DE HIGIENE Y SEGURIDAD INDUSTRIAL,41,41,100.0
2025,INGENIERÍA QUIMICA,18,18,100.0
2025,INGENIERÍA ECONÓMICA,18,18,100.0
2025,INGENIERÍA GEOLOGICA,8,8,100.0
2025,INGENIERÍA DE MINAS,8,8,100.0
2025,FÍSICA,8,8,100.0
2024,FÍSICA,16,16,100.0
2025,QUÍMICA,16,16,100.0
2025,INGENIERÍA MECÁNICA,16,16,100.0
2024,INGENIERÍA DE TELECOMUNICACIONES,36,36,100.0
2024,INGENIERÍA MECÁNICA ELÉCTRICA,40,40,100.0
2025,INGENIERÍA PETROQUIMICA,14,14,100.0
2024,INGENIERÍA DE SISTEMAS,59,59,100.0
2024,INGENIERÍA ESTADISTICA,38,38,100.0
2024,INGENIERÍA MECATRONICA,33,33,100.0
2025,INGENIERÍA ESTADISTICA,28,28,100.0
2025,INGENIERÍA DE SISTEMAS,21,21,100.0
2025,INGENIERÍA MECATRONICA,20,20,100.0
2024,INGENIERÍA INDUSTRIAL,68,68,100.0
2024,INGENIERÍA ECONÓMICA,42,42,100.0
2024,INGENIERÍA ELÉCTRICA,26,26,100.0
2025,INGENIERÍA INDUSTRIAL,22,22,100.0
2024,INGENIERÍA SANITARIA,47,47,100.0
2024,INGENIERÍA MECÁNICA,39,39,100.0
2024,INGENIERIA AMBIENTAL,35,35,100.0
2024,INGENIERÍA QUIMICA,52,52,100.0
2024,INGENIERÍA CIVIL,105,104,99.05
2025,INGENIERÍA CIVIL,44,44,100.0
2024,INGENIERÍA NAVAL,23,23,100.0
2024,SIN ESPECIALIDAD,4753,0,0.0
2025,SIN ESPECIALIDAD,2149,0,0.0
2024,ARQUITECTURA,58,58,100.0
2025,ARQUITECTURA,30,30,100.0
