nombre_colegio,departamento,total_postulantes,total_ingresantes
I.E.P. NUESTRA SEÑORA DE MONSERRAT,LIMA,1,0
MASTER INGENIEROS,LIMA,1,0
VICTOR SANTANDER CASCELLI,CUSCO,1,0
COLEGIO PARROQUIAL NUESTRA SEÑORA DE MONSERRAT,LIMA,1,1
2066 ALMIRANTE MIGUEL GRAU,LIMA,1,1
ID 2024,LIMA,1,0
SANTÍSIMA MADRE MARÍA,LIMA,1,0
I.E.E MIGUEL GRAU ABANCAY,APURIMAC,1,1
I.E 2026 SAN DIEGO,LIMA,1,1
ICTHUS CRISTO SALVADOR,JUNIN,1,0
I.E.P. ANGELO PATRI,LIMA,1,0
IEP ANTON MAKARENKO,LIMA,1,0
SACO OLIVEROS DE COMAS,LIMA,1,0
PACÍFICO,LIMA,1,0
SACO OLIVEROS SEDE NUEVO SAN JUAN,LIMA,1,0
C.T.P.P.CH. SAN FRANCISCO DE ASIS - HUAYCAN,LIMA,1,0
SIR ISAAC NEWTON,LIMA,1,0
1219 JOSE CARLOS MARIATEGUI,LIMA,1,0
33973448,LIMA,1,0
COLEGIO AMÉRICA LA VICTORIA,LIMA,1,0
COLEGIO INGENIERIA DE BELLAVISTA,CALLAO,1,0
ANTHONY ZAMMIT,AYACUCHO,1,0
INSTITUCIÓN EDUCATIVA 1267 LA CAMPIÑA,LIMA,1,0
I.E.P. APOSTOL SAN PEDRO,LIMA,1,0
IEP LOS DOMINICOS DE PALAO,LIMA,1,0
I.E. 3004 ESPAÑA RIMAC,LIMA,1,0
IE HIPOLITO UNANUE,LIMA,1,0
CALLE SANTA ROSA MZ.I LT . 24 P.J.CARMEN ALTO,LIMA,1,0
DANIEL ALCIDES CARRION GARCÍA 107,LIMA,1,0
20542 JAVIER PÉREZ DE CUELLAR,LIMA,1,1
ALESSANDRO VOLTA,LIMA,1,0
COLEGIO NACIONAL MIXTO COJATA,PUNO,1,0
COLEGIO NACIONAL DE TARACO,PUNO,1,0
JOSE ABELARDO QUIÑONES GONZALES,AMAZONAS,1,0
I.E.P NUEVO PERU APPU,LIMA,1,0
SACO OLIVEROS - EL RETABLO,LIMA,1,0
NUESTRA SRA DEL CARMEN DE PALAO,LIMA,1,0
ESCUELA DE TALENTOS,CALLAO,1,0
I.E JOSE CARLOS MARIATEGUI,LIMA,1,0
3069 GENERALÍSIMO JOSÉ DE SAN MARTÍN,LIMA,1,0
IE 7228 PERUANO CANADIENSE,LIMA,1,1
IE COLEGIOS PROLOG,LIMA,1,0
INTERNACIONAL DEL PACÍFICO,LIMA,1,0
VÍCTOR RAÚL HAYA DE LA TORRE INEI 46,LIMA,1,0
ASOCIACIÓN CULTURAL JOHANNES GUTENBERG,LIMA,1,0
COLEGIO INDEPENDENCIA DE MIRAFLORES,LIMA,1,0
INSTITUCIÓN EDUCATIVA TÉCNICO 3052,LIMA,1,0
SAN ANTONIO DEL ROSARIO,LIMA,1,0
JOSÉ GÁLVEZ,PUNO,1,0
IE 110 SAN MARCOS,LIMA,1,1
REINO UNIDO DE GRAN BRETAÑA 1257,LIMA,1,1
COLEGIO SALESIANOS DON BOSCO,AREQUIPA,1,1
2027 JOSÉ MARÍA ARGUEDAS,LIMA,1,0
ROXANITA CASTRO WITTING,LIMA,1,1
MONTERRICO IPNM,LIMA,1,0
MARÍANO MELGAR,LIMA,1,0
2024,LIMA,1,0
JESÚS EDUCADOR - LAS TORRES,LIMA,1,1
ANTONIO RAIMONDI,JUNIN,1,0
511,LIMA,1,0
NUESTRA SEÑORA DE GUADALUPE EL DORADO,LIMA,1,0
C.N. JULIO CESAR TELLO - MATUCANA,LIMA,1,1
JAPAM,LIMA,1,0
VILLA LOS ÁNGELES,LIMA,1,1
LICEO NAVAL CONTRALMIRANTE MONTERO,CALLAO,1,0
JOSE BAQUÍJANO Y CARRILLO,LIMA,1,0
CRISTO SALVADOR,LIMA,1,0
IEP MADRE ADMIRABLE,LIMA,1,0
I.E.P. SANTA ROSA DE HUACHIPA,LIMA,1,0
SS.CC.REINA DE LA PAZ,LIMA,1,0
COLEGIO ADVENTISTA AMERICANO,PUNO,1,0
MIRAVALLES,LIMA,1,0
LAS BRISAS DE VILLA 7076,LIMA,1,0
84227 SAN ANTONIO,ANCASH,1,0
N.6089 JORGE BASADRES G.,LIMA,1,0
I.E. 0005 ROSA DE SANTA MARÍA,LIMA,1,0
VILLAS DE ANCÓN 8193,LIMA,1,0
I.E.P. SAN JUAN BAUTISTA,LIMA,1,0
MANUEL AREVALO,LIMA,1,0
JULIO .C.TELLO,LIMA,1,0
IEP ALFA GROUP,LIMA,1,0
IES SANTA ROSA - PUNO,PUNO,1,1
I.E.P VIRGEN DEL CARMEN,LIMA,1,0
EUROAMERICA,CALLAO,1,0
BH SCHOOL SMP,LIMA,1,0
TRILCE .TOMÁS VALLE,LIMA,1,0
COLEGIO FERNANDO STAHL,PUNO,1,0
PERU BIRF JULIACA,PUNO,1,0
BARCIA BONIFATTI,LIMA,1,0
I.E.Nº 5173 GUSTAVO MOHME LLONA,LIMA,1,1
I.E.P MARIANO SANTOS MATEO,LIMA,1,0
INCA GARCILAZO DE LA VEGA,PUNO,1,0
GERMÁN CARO RIOS,LIMA,1,0
PASCUAL SACO OLIVEROS,UCAYALI,1,0
SAN ANTONIO,PIURA,1,1
5123 FRANCISCO BOLOGNESI CERVANTES,CALLAO,1,0
AURELIO MIRÓ QUESADA SOSA 1140 LA MOLINA,LIMA,1,0
I. E. JOSE GRANDA,LIMA,1,0
COLEGIO PAMER,AREQUIPA,1,0
I.E CIRO ALEGRIA,ICA,1,0
GUE LAS MERCEDES,PUNO,1,0
COLEGIO DIVINO JESÚS,LIMA,1,0
1475425,LIMA,1,0
5117,LIMA,1,0
IES COMERCIAL 45 ERP,PUNO,1,0
GUE. MARISCAL CÁCERES,AYACUCHO,1,0
MOISES ZEBALLOS,ANCASH,1,0
UNION LATINO,LIMA,1,0
IEP APÓSTOL SAN PEDRO SJL,LIMA,1,0
I.E.E. 1182 EL BOSQUE,LIMA,1,0
I.E.E.JOSE MARIA EGUREN,LIMA,1,0
I.E MARÍA DEL ÁNGEL,LIMA,1,1
LA SALLE - JULIACA,PUNO,1,0
SANTA MAGDALENA,LA LIBERTAD,1,0
IE PNP FELIX ROMAN TELLO ROJAS LA MOLINA,LIMA,1,0
COLEGIO SALESIANO,LIMA,1,0
FEDERICO KAUFFMAN DOIG,CALLAO,1,0
SAN VICENTE DE PAUL,JUNIN,1,0
I.E.P EL NAZARENO,LIMA,1,0
MANUEL GONZALES PRADA 7083 SAN BORJA,LIMA,1,1
THALES DE MILETO,LIMA,1,1
