id_carrera,nombre_carrera
1,ARQUITECTURA
2,CIENCIA DE LA COMPUTACIÓN
3,FÍSICA
4,INGENIERIA AMBIENTAL
5,INGENIERÍA AEROESPACIAL
6,INGENIERÍA CIVIL
7,INGENIERÍA DE CIBERSEGURIDAD
8,INGENIERÍA DE HIGIENE Y SEGURIDAD INDUSTRIAL
9,INGENIERÍA DE MINAS
10,INGENIERÍA DE PETROLEO Y GAS NATURAL
11,INGENIERÍA DE SISTEMAS
12,INGENIERÍA DE SOFTWARE
13,INGENIERÍA DE TELECOMUNICACIONES
14,INGENIERÍA ECONÓMICA
15,INGENIERÍA ELECTRONICA
16,INGENIERÍA ELÉCTRICA
17,INGENIERÍA ESTADISTICA
18,INGENIERÍA FÍSICA
19,INGENIERÍA GEOLOGICA
20,INGENIERÍA INDUSTRIAL
21,INGENIERÍA MECATRONICA
22,INGENIERÍA MECÁNICA
23,INGENIERÍA MECÁNICA ELÉCTRICA
24,INGENIERÍA METALURGICA
25,INGENIERÍA NAVAL
26,INGENIERÍA PETROQUIMICA
27,INGENIERÍA QUIMICA
28,INGENIERÍA SANITARIA
29,INGENIERÍA TEXTIL
30,MATEMÁTICA
31,QUÍMICA
32,SIN ESPECIALIDAD
