id_geo,departamento,provincia,distrito,pais
PUNO-MOHO-HUAYRAPATA,PUNO,MOHO,HUAYRAPATA,PERU
LAMBAYEQUE-LAMBAYEQUE-LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,PERU
HUANCAVELICA-CASTROVIRREYNA-AURAHUA,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,PERU
ANCASH-CARLOS FERMIN FITZCARRALD-SAN LUIS,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,PERU
TACNA-TACNA-CORONEL GREGORIO ALBARRACIN LANCHIP,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIP,PERU
AMAZONAS-CHACHAPOYAS-LEIMEBAMBA,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,PERU
LIMA-LIMA-LA MOLINA,LIMA,LIMA,LA MOLINA,PERU
LIMA-HUARAL-CHANCAY,LIMA,HUARAL,CHANCAY,PERU
PASCO-PASCO-PAUCARTAMBO,PASCO,PASCO,PAUCARTAMBO,PERU
ANCASH-HUARMEY-HUARMEY,ANCASH,HUARMEY,HUARMEY,PERU
HUANCAVELICA-ANGARAES-HUANCA-HUANCA,HUANCAVELICA,ANGARAES,HUANCA-HUANCA,PERU
SAN MARTIN-SAN MARTIN-LA BANDA DE SHILCAYO,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,PERU
HUANCAVELICA-TAYACAJA-COLCABAMBA,HUANCAVELICA,TAYACAJA,COLCABAMBA,PERU
LIMA-HUAROCHIRI-HUAROCHIRI,LIMA,HUAROCHIRI,HUAROCHIRI,PERU
LIMA-LIMA-MAGDALENA DEL MAR,LIMA,LIMA,MAGDALENA DEL MAR,PERU
LIMA-CANTA-SANTA ROSA DE QUIVES,LIMA,CANTA,SANTA ROSA DE QUIVES,PERU
HUANUCO-YAROWILCA-APARICIO POMARES,HUANUCO,YAROWILCA,APARICIO POMARES,PERU
PIURA-MORROPON-SANTA CATALINA DE MOSSA,PIURA,MORROPON,SANTA CATALINA DE MOSSA,PERU
LIMA-LIMA-SAN BORJA,LIMA,LIMA,SAN BORJA,PERU
LIMA-LIMA-CIENEGUILLA,LIMA,LIMA,CIENEGUILLA,PERU
LA LIBERTAD-CHEPEN-PACANGA,LA LIBERTAD,CHEPEN,PACANGA,PERU
PASCO-OXAPAMPA-POZUZO,PASCO,OXAPAMPA,POZUZO,PERU
LIMA-CAÑETE-SANTA CRUZ DE FLORES,LIMA,CAÑETE,SANTA CRUZ DE FLORES,PERU
ANCASH-SANTA-MORO,ANCASH,SANTA,MORO,PERU
PUNO-AZANGARO-CHUPA,PUNO,AZANGARO,CHUPA,PERU
ANCASH-CARHUAZ-MARCARA,ANCASH,CARHUAZ,MARCARA,PERU
JUNIN-CHUPACA-CHONGOS BAJO,JUNIN,CHUPACA,CHONGOS BAJO,PERU
PUNO-CARABAYA-MACUSANI,PUNO,CARABAYA,MACUSANI,PERU
PUNO-PUNO-CHUCUITO,PUNO,PUNO,CHUCUITO,PERU
APURIMAC-COTABAMBAS-CHALLHUAHUACHO,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,PERU
TUMBES-ZARUMILLA-ZARUMILLA,TUMBES,ZARUMILLA,ZARUMILLA,PERU
JUNIN-SATIPO-PANGOA,JUNIN,SATIPO,PANGOA,PERU
HUANUCO-LEONCIO PRADO-RUPA-RUPA,HUANUCO,LEONCIO PRADO,RUPA-RUPA,PERU
AREQUIPA-AREQUIPA-ALTO SELVA ALEGRE,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,PERU
ANCASH-HUAYLAS-CARAZ,ANCASH,HUAYLAS,CARAZ,PERU
PUNO-CHUCUITO-JULI,PUNO,CHUCUITO,JULI,PERU
AREQUIPA-ISLAY-ISLAY,AREQUIPA,ISLAY,ISLAY,PERU
CALLAO-CALLAO-CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,PERU
APURIMAC-ANDAHUAYLAS-HUANCARAY,APURIMAC,ANDAHUAYLAS,HUANCARAY,PERU
APURIMAC-CHINCHEROS-CHINCHEROS,APURIMAC,CHINCHEROS,CHINCHEROS,PERU
CAJAMARCA-JAEN-PUCARA,CAJAMARCA,JAEN,PUCARA,PERU
LIMA-LIMA-VILLA EL SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,PERU
LIMA-LIMA-LINCE,LIMA,LIMA,LINCE,PERU
HUANUCO-HUANUCO-HUANUCO,HUANUCO,HUANUCO,HUANUCO,PERU
ICA-ICA-LA TINGUIÑA,ICA,ICA,LA TINGUIÑA,PERU
LORETO-MAYNAS-BELEN,LORETO,MAYNAS,BELEN,PERU
AREQUIPA-ISLAY-COCACHACRA,AREQUIPA,ISLAY,COCACHACRA,PERU
HUANCAVELICA-HUANCAVELICA-YAULI,HUANCAVELICA,HUANCAVELICA,YAULI,PERU
ANCASH-BOLOGNESI-HUALLANCA,ANCASH,BOLOGNESI,HUALLANCA,PERU
CAJAMARCA-SAN IGNACIO-SAN JOSE DE LOURDES,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,PERU
CAJAMARCA-CAJAMARCA-LOS BAÑOS DEL INCA,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,PERU
