codigo_cuenta,nombre_cuenta,valor_cuenta,tipo_cuenta,tipo_estado_financiero,nombre_empresa,fecha
11,disponible,28888240.81,Activo,bg,banco_bbva_peru,2021-01
1101,caja,2164974.996,Activo,bg,banco_bbva_peru,2021-01
1103,bancos_y_corresponsales,24793532.922,Activo,bg,banco_bbva_peru,2021-01
1105,canje,70486.031,Activo,bg,banco_bbva_peru,2021-01
1109,otros,1859246.86,Activo,bg,banco_bbva_peru,2021-01
12,fondos_interbancarios,0.0,Activo,bg,banco_bbva_peru,2021-01
13,inversiones_netas_de_provisiones,11282874.836,Activo,bg,banco_bbva_peru,2021-01
1301,inversiones_a_valor_razonable_con_cambios_en_resultados,5073671.866,Activo,bg,banco_bbva_peru,2021-01
1303,inversiones_disponibles_para_la_venta,5852213.965,Activo,bg,banco_bbva_peru,2021-01
1305,inversiones_a_vencimiento,0.0,Activo,bg,banco_bbva_peru,2021-01
17,inversiones_en_subsidiarias_asociadas_y_negocios_conjuntos,376841.794,Activo,bg,banco_bbva_peru,2021-01
1306,inversiones_en_commodities,0.0,Activo,bg,banco_bbva_peru,2021-01
1309,provisiones,-19852.789,Activo,bg,banco_bbva_peru,2021-01
14,creditos_netos_de_provisiones_y_de_ingresos_no_devengados,65050021.707,Activo,bg,banco_bbva_peru,2021-01
1401,vigentes,65464843.713,Activo,bg,banco_bbva_peru,2021-01
1401.07.01,cuentas_corrientes,17044.472,Activo,bg,banco_bbva_peru,2021-01
1401.07.02,tarjetas_de_credito,2231958.743,Activo,bg,banco_bbva_peru,2021-01
1401.07.05,descuentos,856995.048,Activo,bg,banco_bbva_peru,2021-01
1401.07.10,factoring,1110816.648,Activo,bg,banco_bbva_peru,2021-01
1401.07.06,prestamos,37312537.035,Activo,bg,banco_bbva_peru,2021-01
1401.07.11,arrendamiento_financiero,3468602.47,Activo,bg,banco_bbva_peru,2021-01
1401.04,hipotecarios_para_vivienda,12876188.15,Activo,bg,banco_bbva_peru,2021-01
1401.07.26,comercio_exterior,4197264.867,Activo,bg,banco_bbva_peru,2021-01
1401.07.21,creditos_por_liquidar,1137.256,Activo,bg,banco_bbva_peru,2021-01
1401.04.99,otros,3392299.021,Activo,bg,banco_bbva_peru,2021-01
1403,refinanciados_y_reestructurados,1836676.606,Activo,bg,banco_bbva_peru,2021-01
1404,atrasados,2343686.042,Activo,bg,banco_bbva_peru,2021-01
1405,vencidos,553727.205,Activo,bg,banco_bbva_peru,2021-01
1406,en_cobranza_judicial,1789958.837,Activo,bg,banco_bbva_peru,2021-01
1409,provisiones,-4496468.462,Activo,bg,banco_bbva_peru,2021-01
1410,intereses_y_comisiones_no_devengados,-98716.192,Activo,bg,banco_bbva_peru,2021-01
15,cuentas_por_cobrar_netas_de_provisiones,1039396.561,Activo,bg,banco_bbva_peru,2021-01
1508,rendimientos_por_cobrar,574113.425,Activo,bg,banco_bbva_peru,2021-01
1508.11,disponible,450.779,Activo,bg,banco_bbva_peru,2021-01
1508.12,fondos_interbancarios,0.0,Activo,bg,banco_bbva_peru,2021-01
1508.13,inversiones,0.0,Activo,bg,banco_bbva_peru,2021-01
