period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,issues_review_menor_7_dias,issues_en_revision_total,historias_fix_version_deploy,cantidad_historias_deploy,repos_activos_con_nomenclatura_estandar,total_repositorios_en_uso,promedio_tiempo_aprobacion_pr,promedio_tamano_pr,repos_gobernados_chimera_activos,promedio_tiempo_integracion,promedio_tiempo_builds,pipelines_ejecuciones_exitosas,pipelines_ejecuciones_totales,promedio_tiempo_reparacion_builds,repos_sonarqube_ok_activos,repos_conectados_sonarqube,items_pruebas_desplegados_xray,items_desplegados_totales
01-Jun,VENEZUELA,SYSTEMS,PAYMENT,685,ISSUING(EMISOR/AUTORIZADOR),11,12,9,10,10,11,0.1,9,11,1.87,1,10,10,10.5,12,12,4,4
01-Aug,PERU,SYSTEMS,RETAIL,734,MOBILE CHANNELS,10,10,11,12,11,13,0.2,21.5,13,1.96,9.5,7,7,13,11,11,5,5
01-Aug,CIB,SW DELIVERY,FIXED INCOME,1183,FI BOOKING & PORTFOLIO MANAGEMENT,10,11,6,6,8,9,0.05,20.5,8,1.42,13,5,5,19.5,8,8,4,4
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,CFS-FINANZAS-T&C-R&IC,569,FINANZAS,11,12,3,3,9,9,0.33,17.5,9,1.22,15.5,14,14,9,11,12,5,5
01-Jul,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,291,IMPAGO Y COBERTURAS,11,12,11,12,5,6,0.18,204.5,6,2.47,16,12,12,54.5,11,11,14,14
01-Jun,MEXICO,SYSTEMS ENGINEERING,RETAIL,436,MOBILE RETAIL,7,7,13,14,12,12,0.21,2.5,12,1.05,4.5,11,13,18.5,10,10,15,15
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,SERVICING & CLIENT EXPERIENCE TRANSFORMATION,1073,PIVOT IMPLEMENTATION,12,13,9,9,10,10,0.5,10,10,1.3,16,7,7,49,9,10,11,11
01-Aug,PERU,SYSTEMS,PAYMENT METHODS,752,ISSUING,12,13,11,11,13,13,0.13,7,13,2.49,16,9,9,65.5,12,12,3,3
01-Aug,CIB,DATA ENGINEERING,ANALYTICS,1144,SUSTAINABILITY SOLUTIONS,9,9,13,14,4,4,0.18,36.5,4,1.14,2,13,13,42,8,10,7,7
01-Jul,RETAIL CLIENT SOLUTIONS,RETAIL,RETAIL - PAYMENTS,886,PLATAFORMA ADQUIRENCIA,12,13,8,9,6,6,0.46,89.5,6,1.86,10,13,13,82,13,14,10,10
01-Jun,ESPANA,DATA ENGINEERING,DATA HUB,843,CROSS SYSTEM,11,12,8,8,10,12,0.26,44.5,12,1.75,8.5,11,11,46,10,11,1,1
01-Aug,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,SALESFORCE,873,SALESFORCE - DATA,10,11,6,6,7,7,0.41,3,7,1.46,6,6,7,14.5,8,8,13,13
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,CORE,564,LOANS,3,3,10,11,7,7,0.16,239.5,7,1.8,12.5,10,11,79.5,11,11,10,10
01-Jul,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,282,INSURANCE - AHORRO Y PREVISION,11,12,10,11,7,7,0.36,14,6,2.32,34,6,6,19.5,6,6,11,11
01-Jun,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,HIGH VALUE SOLUTIONS,1053,FINANCIACION ESPECIALIZADA,11,11,13,14,8,10,0.06,53,10,2.88,18,11,11,70,12,12,14,14
01-Jun,MEXICO,SYSTEMS ENGINEERING,RETAIL,438,OPEN MARKET,12,12,12,13,10,11,0.8,34.5,10,2.25,2.5,10,10,22,13,14,8,8
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,1064,CREDIT EXPERIENCE,2,2,11,11,12,12,0.16,48.5,11,1.63,19.5,11,12,5,13,14,8,8
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,590,ENTERPRISE WEB CHANNEL,10,10,12,13,5,5,0.98,29,5,1.97,16,9,10,11,13,14,10,10
01-Jun,MEXICO,DATA TRANSFORMATION & ENGINEERING,DATAHUB FINANZAS Y RIESGOS,869,DATA FINANCE,6,7,6,6,10,11,0.4,33.5,10,2.08,9,8,8,8.5,11,12,14,14
01-Jul,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,1102,PROCESOS ONBOARDING & CONTRATACION,7,8,6,6,9,11,0.02,25,11,2.6,4.5,9,10,19,9,9,12,12
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,MERCADOS Y CUSTODIAS,15,CIB07 ASSET MANAGEMENT,9,10,7,8,7,8,0.41,24.5,8,2.24,33.5,14,14,12.5,2,2,10,10
01-Aug,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,274,INFRAESTRUCTURA OPERACIONAL,8,8,12,13,7,7,0.82,26,5,2.08,19.5,11,12,6.5,13,13,13,13
01-Aug,GSD,GSD,SW DEV TRANSF,862,SDLC PROCESSES GLOBAL,11,12,9,10,8,8,0.33,13.5,7,2.2,5,11,11,22,13,13,13,13
01-Aug,VENEZUELA,SYSTEMS,CHANNELS,696,ENTERPRISE WEB & MOBILE,13,14,12,13,10,12,0.5,30,10,2.3,8,9,9,2.5,7,7,10,10
01-Jul,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,284,INSURANCE - DISTRIBUCION,12,12,12,13,12,13,0.47,24,13,1.68,4.5,12,12,30,11,12,14,14
01-Aug,GSD,GSD,ALPHA,848,FIRMA,10,11,8,8,11,13,0.12,6.5,12,2.53,17,7,7,40.5,9,10,9,9
01-Aug,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,1077,INFRAESTRUCTURA MULTICANAL ALPHA,13,14,5,5,10,12,0.37,4.5,10,2.81,5,10,10,19,13,14,10,10
01-Aug,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,INTERNATIONAL TREASURY MANAGEMENT,1055,PIVOT CONNECT,12,13,9,10,8,8,0.45,10.5,7,2.04,14.5,11,12,29.5,10,11,13,13
01-Jun,CFE,T&C,,1258,TALENT MANAGEMENT,9,10,5,5,12,12,0.43,100,12,1.55,24,4,4,16,9,10,13,13
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,583,RIESGOS COBRANZA,11,12,11,11,12,14,0.95,159,12,2.31,4,11,12,55,15,15,14,14
01-Jun,ESPANA,SYSTEMS ENGINEERING,CONSUMER FINANCE SYSTEMS,257,CONSUMER FINANCE,11,12,6,6,14,15,0.4,23,15,1.36,5.5,8,9,85.5,12,12,13,13
01-Jul,PERU,SYSTEMS,RETAIL,734,MOBILE CHANNELS,4,4,9,9,10,11,0.36,8.5,11,2.1,16,14,14,87,12,12,11,11
01-Aug,CFE,RISK,,1254,WHOLESALE CREDIT RISK,13,14,10,11,4,4,0.44,1.5,3,2.5,13,10,11,13,11,11,7,7
01-Jul,CFE,FINANCE,,1248,REPORTING REGULATORIO,7,7,11,11,12,14,0.03,90.5,13,2.43,11.5,9,9,104,10,10,6,6
01-Jul,RETAIL CLIENT SOLUTIONS,CROSS,TRAFFIC GENERATION & MARKETING AUTOMATION,894,TRAFFIC GENERATION & MARKETING AUTOMATION,8,8,10,11,7,7,0.07,19.5,7,2.32,17,7,8,34.5,12,13,9,9
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,57,AR22 ACCOUNTS & DEPOSITS / CUENTAS,14,15,11,12,9,10,0.16,229.5,10,1.71,11.5,13,13,17,9,9,8,8
01-Jul,ESPANA,DATA ENGINEERING,DATA MODELLING,833,SDM,9,9,11,12,6,6,0.43,212,5,1.48,8,11,11,111,11,12,12,12
01-Aug,URUGUAY,SYSTEMS ENGINEERING,,670,CFE,9,9,11,12,9,11,0.49,25,10,1.55,1.5,8,9,31,3,3,11,11
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,73,AR45 HELP DESK ARG,10,11,8,9,7,8,0.46,105,8,1.86,6,9,9,99.5,9,9,7,7
01-Jul,CIB,SW DELIVERY,FOREIGN EXCHANGE,1186,BOOKING & SETTLEMENT,7,7,13,14,10,10,0.34,144,8,1.49,16,14,14,5.5,7,7,10,10
01-Jun,CIB,DATA ENGINEERING,FINANCE DATA,1145,DATAWAREHOUSE & DATAMARTS,14,15,12,13,7,7,0.04,85,5,1.59,16,11,11,27,12,13,15,15
01-Jul,GSD,GSD,PAYMENT,858,PAYMENT AUTHORIZATION,12,13,12,13,5,5,0.23,18.5,5,2.66,10,6,8,12,13,13,9,9
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,SWF SEGUROS,27,AR13 INSURANCE DISTRIBUTION/CHANNELS CORE,9,10,7,7,8,8,0.08,25,8,2.19,31.5,13,13,7.5,8,9,6,6
01-Jul,ESPANA,SYSTEMS ENGINEERING,ENTERPRISE CLIENTS SYSTEMS,260,COMEX,5,5,13,14,8,10,0.27,81,10,1.43,5,7,7,74.5,10,10,14,14
01-Jul,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,1058,BBVA CONNECTA,9,9,9,10,8,8,0.4,0.5,8,1.13,31,9,10,26,13,14,8,8
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,70,AR42 ETPB,11,12,11,12,9,9,0.09,57.5,9,2.81,0.5,12,13,4.5,4,5,12,12
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,591,SOLUCIONES FINANCIERAS,4,4,10,11,7,9,0.04,25,8,2.91,1.5,13,15,53,12,12,13,13
01-Aug,ESPANA,SYSTEMS ENGINEERING,ALPHA,252,ALPHA CORE PLATFORM,11,12,8,8,14,14,0.09,4,14,1.71,11,3,3,26,6,7,9,9
01-Jun,MEXICO,DATA TRANSFORMATION & ENGINEERING,SEGURIDAD Y OTRAS PI,871,DATA LEGACY,4,4,8,8,10,11,0.14,17,11,1.71,21,15,15,17,11,12,10,10
01-Jun,CIB,SW DELIVERY,EQUITIES,1169,CASH EQUITY & MMOO,8,8,11,12,12,12,0.43,251.5,10,1.84,7,14,14,29,12,13,2,2
01-Jul,I&O HUB AMERICA,R&IC,CFE,878,SCREENING & TRANSACTION MONITORING AML,12,13,9,10,1,1,0.37,57,1,2.7,13,5,6,27.5,9,10,9,9
01-Aug,MEXICO,SYSTEMS ENGINEERING,C&IB,459,PRIVATE BANKING,9,10,7,7,10,12,0.3,78.5,12,1.82,5,10,10,115.5,11,11,9,9
01-Aug,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,DOMESTIC TREASURY MANAGEMENT,1052,PLATAFORMA ETPB,8,8,14,15,10,12,0.4,8,12,2.97,18.5,6,7,32.5,13,14,9,9
01-Jun,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,296,ATM,7,7,13,14,13,15,0.2,11.5,13,2.25,3,10,10,16,9,10,12,12
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CASH MANAGEMENT,63,AR28 PAGOS Y COBROS,10,10,11,12,3,3,0.09,6.5,3,2.11,4,11,12,66,11,11,11,11
01-Aug,MEXICO,SYSTEMS ENGINEERING,CORE BANKING PRODUCTS,452,PAYROLLS AND TRANSFERS,3,3,5,5,9,9,0.42,18,8,1.85,28,10,10,65.5,13,13,14,14
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,41,CF06 FINANCE / FINANZAS,7,7,9,10,7,9,0.31,8.5,7,2.21,14,9,10,9,10,10,8,8
01-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,1267,"LEGAL, FUNDACION BBVA",8,9,7,7,13,15,0.43,6.5,14,2.71,7,10,10,38.5,7,8,12,12
01-Aug,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,304,RETAIL DIGITAL SERVICES,13,14,12,13,9,10,0.8,25.5,10,2.5,15,13,14,18.5,5,5,13,13
01-Jun,CIB,DATA ENGINEERING,RISK DATA,1146,GM RISK DATA,4,4,5,5,12,13,0.24,49.5,13,2.03,1.5,11,12,53.5,11,13,11,11
01-Aug,RETAIL CLIENT SOLUTIONS,RETAIL,RETAIL - PAYMENTS,883,GP2 - BCEA,8,8,11,12,8,9,0.2,78.5,8,2.8,15,6,7,20.5,6,6,7,7
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,SWF VINCULADAS,80,AM05 CONSUMER FINANCE,12,13,11,12,11,13,0.36,4,11,1.28,8.5,3,3,24.5,12,13,10,10
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,SWF VINCULADAS,80,AM05 CONSUMER FINANCE,8,8,9,10,8,8,0.12,227.5,8,1.84,13,9,10,74.5,11,12,14,14
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,42,AR17 ENGINEERING SERVICES,13,14,5,5,10,12,0.47,21.5,10,2.75,3.5,12,13,24.5,9,9,13,13
01-Aug,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,1059,GLOBAL SCF (LOCAL MULTICOUNTRY),10,10,12,13,10,10,0.8,51.5,10,2.14,9,6,6,70.5,3,3,14,14
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,9,AR12 CONTABILIDAD TC,5,5,11,12,12,12,0.1,91.5,10,1.57,2.5,12,13,6,13,14,9,9
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,556,BACKOFFICE,6,6,11,12,9,9,0.27,17.5,7,1.47,15,9,9,0.5,9,10,11,11
01-Jul,ESPANA,SYSTEMS ENGINEERING,CONSUMER FINANCE SYSTEMS,258,CONSUMER FINANCE CHANNEL,6,6,13,14,13,15,0.5,83,13,2.05,28,14,15,17.5,7,7,4,4
01-Jul,PERU,SYSTEMS,FINANCE,744,FINANCE,9,9,11,12,10,12,0.47,4,12,2.04,34,3,3,3,3,3,9,9
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,40,RB02 RETAIL MOBILE / MOVILES PARTICULARES,10,10,11,12,8,8,0.61,69,8,1.2,0,11,13,27.5,10,11,13,13
01-Jun,PERU,SYSTEMS,CORPORATE,758,ENGINEERING,14,15,7,7,10,12,0.18,2,12,1.6,24,11,11,30,14,14,7,7
01-Aug,CIB,SW DELIVERY,ACCOUNTING & CORE BANKING,1180,ACCOUNTING,12,13,7,8,8,10,0.26,30,10,1.23,15,7,9,7.5,13,13,7,7
01-Jul,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,840,HERRAMIENTAS DATA,10,11,6,7,7,8,0.29,69.5,6,2.85,8,11,12,43.5,10,10,4,4
01-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,1261,AUDIT,13,14,13,14,13,14,0.42,3.5,14,2.96,32.5,12,12,55.5,10,10,7,7
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MODELOS DE ATENCION,20,RB07 CONTACT CENTER / GESTION DE MORA,10,11,7,7,15,15,0.06,0.5,14,2.97,13.5,8,9,12.5,13,15,14,14
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,CORE,566,PROCESS AUTOMATION,7,7,8,9,6,6,0.2,3,5,2.18,30.5,4,4,110.5,12,12,8,8
01-Jun,VENEZUELA,SYSTEMS,CROSS SERVICES,683,CROSS SYSTEMS,8,9,7,8,6,8,1.37,23.5,8,1.75,0,13,13,16,5,5,10,10
01-Jul,CFE,T&C,,1257,PREMISES & SERVICES,12,12,14,15,6,6,0.4,265.5,6,2.94,11,12,13,88.5,5,5,11,11
01-Jul,CIB,SW DELIVERY,EQUITIES,1171,QIS EQUITY FINANCE & CROSS,13,14,9,9,10,10,0.19,17,10,1.6,3,14,14,68.5,9,10,9,9
01-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,431,SUBSCRIPTIONS AND SERVICES,9,9,10,11,7,7,1.47,5.5,6,1.45,13.5,13,13,42.5,12,12,11,11
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,STAFFING Y METODOLOGIA,26,AR35 BRANCHES / OFICINAS OPERATORIA,9,9,11,11,13,13,1.28,16,8,2.31,3.5,6,6,57,3,3,14,14
01-Aug,CIB,SW DELIVERY,EQUITIES,1169,CASH EQUITY & MMOO,11,12,10,11,9,9,0.34,10,9,2.26,11.5,11,11,73,8,10,11,11
01-Jul,CIB,DATA ENGINEERING,ANALYTICS,1143,POST-TRADE SOLUTIONS,7,7,13,14,9,10,0.34,205,10,1.62,9,9,9,88,3,4,9,9
01-Jul,ESPANA,SYSTEMS ENGINEERING,ENTERPRISE CLIENTS SYSTEMS,264,ENTERPRISE MXM,6,6,8,8,10,10,0.22,79.5,9,1.93,5.5,11,12,52.5,12,14,10,10
01-Jun,MEXICO,SYSTEMS ENGINEERING,INSURANCE,423,CHANNELS,14,15,13,14,3,3,0.3,267.5,3,2.37,5,11,13,12.5,8,8,10,10
01-Aug,PERU,SYSTEMS,LOANS,742,LOANS OTHER PRODUCTS,11,11,12,13,9,11,0.26,2,11,2.89,24,9,9,14.5,9,9,13,13
01-Jul,PERU,SYSTEMS,RETAIL,764,CONTACT CENTER,9,9,11,12,11,11,0.05,21.5,11,2.41,26,5,6,24,12,13,15,15
