period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features deployed válidas,Número de features deployed,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº de vulnerabilidades high,Nº de Lineas de código,Nº de vulnerabilidades high en el mes anterior,Líneas de código en el mes anterior
25-Mar,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,4,RIESGOS DE CREDITO,8,8,6,6,119,122,9,9,8,0,0,8,2.948.838,0,0
25-Apr,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,4,RIESGOS DE CREDITO,8,8,6,6,12,13,9,9,4,0,0,4,2.107.994,0,0
25-May,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,4,RIESGOS DE CREDITO,8,8,6,6,27,27,9,9,4,0,0,4,2.637.364,0,0
25-Jun,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,4,RIESGOS DE CREDITO,8,8,6,6,104,106,9,9,4,0,0,4,2.654.464,0,0
25-Jul,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,4,RIESGOS DE CREDITO,8,8,6,6,16,16,9,9,0,0,0,0,2.753.839,0,0
25-Aug,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,4,RIESGOS DE CREDITO,8,8,6,6,21,21,9,9,0,0,0,0,2.761.314,0,0
25-Sep,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,4,RIESGOS DE CREDITO,8,8,6,6,21,21,9,9,0,0,0,0,2.768.647,0,0
25-Mar,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,2,3,44,44,0.5,3,0,0,0,0,491.074,0,0
25-Apr,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,3,3,2,2,1.5,3,0,0,0,0,334.538,0,0
25-May,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,3,3,31,31,1,3,0,0,0,0,336.122,0,0
25-Jun,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,3,3,59,59,1.5,3,0,0,0,0,355.903,0,0
25-Jul,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,3,3,3,3,1.5,3,0,0,0,0,357.89,0,0
