"ORDEN_PRODUCCION","SECUENCIA_PAQUETE","ESTILO","TALLA","PRENDAS","FECHA_TERMINO"
"833503","1","520022","S4","25","10/01/2024 14:47:32"
"833503","2","520022","M5/6","28","10/01/2024 13:18:06"
"833503","3","520022","L6X/","14","10/01/2024 14:48:58"
"846751","1","207240","MED","24","20/09/2024 17:19:51"
"846751","2","207240","LG","11","20/09/2024 18:14:01"
"849224","1","519020","MED","16","13/03/2024 17:10:28"
"849817","7","DH2050-23","4","18","18/01/2024 17:52:52"
"853343","1","EJ2816-23","2","6","16/01/2024 17:27:21"
"853343","2","EJ2816-23","4","4","12/01/2024 15:26:40"
"853343","3","EJ2816-23","6","6","12/01/2024 13:15:23"
"853343","4","EJ2816-23","6","3","12/01/2024 13:11:47"
"853343","5","EJ2816-23","8","6","12/01/2024 15:25:52"
"853343","6","EJ2816-23","8","3","12/01/2024 15:25:52"
"853343","7","EJ2816-23","10","4","16/01/2024 17:39:02"
"853343","8","EJ2816-23","12","6","12/01/2024 13:17:32"
"853343","9","EJ2816-23","14","5","16/01/2024 17:28:32"
"853512","1","53948","S","11","19/01/2024 18:06:53"
"853512","2","53948","M","24","19/01/2024 18:15:24"
"853512","3","53948","L","24","19/01/2024 18:00:31"
"853512","4","53948","XL","23","19/01/2024 17:51:48"
"853512","5","53948","XXL","13","19/01/2024 18:00:04"
"853557","1","518503","1X","13","23/02/2024 10:05:02"
"853557","2","518503","2X","13","23/02/2024 10:03:28"
"853557","3","518503","3X","13","24/02/2024 14:16:00"
"853974","1","EJ2816-23","2","5","12/01/2024 15:29:26"
"853974","2","EJ2816-23","4","3","12/01/2024 11:25:11"
"853974","3","EJ2816-23","6","7","12/01/2024 10:29:10"
"853974","4","EJ2816-23","8","8","12/01/2024 11:22:58"
"853974","5","EJ2816-23","10","9","12/01/2024 10:50:53"
"853974","6","EJ2816-23","12","11","12/01/2024 10:41:12"
"853974","7","EJ2816-23","14","5","12/01/2024 11:24:08"
"854353","1","TH6709-23","2","3","01/03/2024 18:56:55"
"854493","1","508092","1X","8","14/02/2024 17:43:34"
"854831","1","519617","XS","4","26/02/2024 12:06:57"
"854831","2","519617","SM","6","26/02/2024 17:49:02"
"854831","3","519617","MED","10","26/02/2024 12:05:59"
"854831","4","519617","LG","10","26/02/2024 11:48:33"
"854831","5","519617","XL","9","26/02/2024 17:46:41"
"855244","1","PJ2909-23","2","10","11/01/2024 15:34:21"
"855244","2","PJ2909-23","4","8","10/01/2024 18:13:36"
"855244","3","PJ2909-23","6","11","16/01/2024 10:32:00"
"855244","4","PJ2909-23","8","9","10/01/2024 17:50:43"
"855244","5","PJ2909-23","10","11","11/01/2024 15:17:46"
"855244","6","PJ2909-23","12","4","10/01/2024 18:19:03"
"855244","7","PJ2909-23","14","7","10/01/2024 18:17:47"
"855396","1","TH1712-23","3","2","11/01/2024 14:12:13"
"855396","2","TH1712-23","4","2","10/01/2024 20:31:47"
"855396","3","TH1712-23","5","2","10/01/2024 20:33:07"
"855396","4","TH1712-23","6","2","10/01/2024 20:32:10"
"855396","5","TH1712-23","8","2","10/01/2024 20:30:46"
"855513","1","TH1712-23","3","10","10/01/2024 20:28:49"
"855513","2","TH1712-23","4","19","10/01/2024 20:24:58"
"855513","3","TH1712-23","5","18","10/01/2024 20:30:10"
"855513","4","TH1712-23","6","14","10/01/2024 20:25:51"
"856093","1","PH8184-23","3","4","15/01/2024 18:55:56"
"856093","2","PH8184-23","4","15","15/01/2024 18:50:46"
"856093","3","PH8184-23","4","11","15/01/2024 18:59:17"
"856093","4","PH8184-23","5","15","15/01/2024 18:27:17"
"856093","5","PH8184-23","5","5","15/01/2024 18:59:22"
"856093","6","PH8184-23","6","15","15/01/2024 19:07:22"
"856093","7","PH8184-23","6","6","15/01/2024 18:30:45"
"856093","8","PH8184-23","7","10","15/01/2024 18:24:16"
"856093","9","PH8184-23","8","9","15/01/2024 18:28:47"
"856356","1","TH6710-23","3","24","09/01/2024 19:30:50"
"856356","2","TH6710-23","4","31","10/01/2024 15:29:42"
"856356","3","TH6710-23","6","22","10/01/2024 19:00:34"
"856356","4","TH6710-23","7","3","10/01/2024 15:39:03"
"856356","5","TH6710-23","8","8","10/01/2024 15:38:19"
"856424","1","509332","LG","11","16/01/2024 16:22:12"
"856424","2","509332","XL","7","16/01/2024 18:24:32"
"856638","1","TH6709-23","2","2","07/01/2024 10:21:37"
"856638","2","TH6709-23","3","7","07/01/2024 10:00:21"
"856638","3","TH6709-23","4","15","07/01/2024 10:19:12"
"856638","4","TH6709-23","5","14","07/01/2024 10:02:45"
"856638","5","TH6709-23","6","9","07/01/2024 10:20:55"
"856638","6","TH6709-23","7","13","07/01/2024 9:58:52"
"856689","1","TF5538-23","38","19","10/01/2024 10:56:39"
"856689","2","TF5538-23","40","18","10/01/2024 10:54:39"
"856689","3","TF5538-23","42","8","10/01/2024 16:01:10"
"856689","4","TF5538-23","44","8","10/01/2024 10:59:40"
"856689","5","TF5538-23","46","3","10/01/2024 11:00:28"
"856790","1","EF5473-23","36","4","12/01/2024 18:50:09"
"856790","2","EF5473-23","38","4","12/01/2024 19:05:06"
"856790","3","EF5473-23","40","3","12/01/2024 18:51:35"
"856820","8","DH2050-23","6","50","18/01/2024 16:51:08"
"856902","1","TH6709-23","4","27","10/01/2024 20:47:18"
"856902","2","TH6709-23","5","10","12/01/2024 16:40:33"
"857065","1","DH2050-23","2","14","31/01/2024 19:36:43"
"857081","1","DH2050-23","3","3","19/01/2024 17:59:29"
"857081","2","DH2050-23","4","3","19/01/2024 17:58:56"
"857086","1","PH9753-00","4","48","03/01/2024 15:12:00"
"857205","1","514051","2T","23","12/01/2024 15:30:11"
"857205","2","514051","2T","24","12/01/2024 15:16:54"
"857205","3","514051","2T","23","12/01/2024 14:28:08"
"857205","4","514051","2T","25","12/01/2024 15:35:57"
"857205","5","514051","2T","35","12/01/2024 14:21:50"
"857205","6","514051","2T","35","12/01/2024 10:24:59"
"857205","7","514051","3T","23","12/01/2024 13:15:04"
"857205","8","514051","3T","25","12/01/2024 13:11:17"
"857205","9","514051","3T","23","11/01/2024 18:33:07"
"857205","10","514051","3T","25","11/01/2024 18:51:22"
"857205","11","514051","3T","35","12/01/2024 13:32:53"
"857205","12","514051","3T","35","11/01/2024 18:51:09"
"857205","13","514051","4T","23","11/01/2024 17:05:11"
"857205","14","514051","4T","25","11/01/2024 17:20:12"
"857205","15","514051","4T","23","12/01/2024 14:16:09"
"857205","16","514051","4T","25","11/01/2024 17:42:34"
"857205","17","514051","4T","35","11/01/2024 15:36:25"
"857205","18","514051","4T","33","17/01/2024 10:02:49"
"857206","1","510853","8","22","17/01/2024 13:16:51"
"857206","2","510853","8","25","11/01/2024 15:54:04"
"857206","3","510853","8","35","12/01/2024 9:42:56"
"857206","4","510853","8","29","11/01/2024 9:47:53"
"857206","5","510853","10","23","11/01/2024 18:43:48"
"857206","6","510853","10","25","11/01/2024 19:12:21"
"857206","7","510853","10","35","11/01/2024 17:14:20"
"857206","8","510853","10","27","17/01/2024 9:22:09"
"857206","9","510853","12","23","11/01/2024 17:37:56"
"857206","10","510853","12","25","11/01/2024 16:04:46"
"857206","11","510853","12","29","11/01/2024 10:15:46"
"857206","12","510853","14","23","11/01/2024 15:28:56"
"857206","13","510853","14","24","11/01/2024 15:32:31"
"857206","14","510853","14","29","11/01/2024 18:30:00"
"857206","15","510853","16","23","11/01/2024 14:16:00"
"857206","16","510853","16","25","11/01/2024 12:43:27"
"857206","17","510853","16","28","17/01/2024 11:24:48"
"857249","1","511864","4","43","17/01/2024 10:53:59"
"857249","2","511864","4","44","11/01/2024 14:31:53"
"857249","3","511864","4","44","12/01/2024 18:01:49"
"857249","4","511864","4","44","11/01/2024 20:35:01"
"857249","5","511864","5/6","44","12/01/2024 9:10:41"
"857249","6","511864","5/6","44","11/01/2024 15:48:05"
"857249","7","511864","5/6","41","11/01/2024 18:06:06"
"857249","8","511864","5/6","42","12/01/2024 10:31:59"
"857249","9","511864","5/6","42","11/01/2024 18:29:18"
"857249","10","511864","6X/7","44","11/01/2024 19:07:13"
"857249","11","511864","6X/7","42","17/01/2024 10:58:54"
"857249","12","511864","6X/7","44","11/01/2024 17:46:49"
"857249","13","511864","6X/7","44","11/01/2024 18:22:16"
"857250","1","514051","2T","44","12/01/2024 16:36:44"
"857250","2","514051","2T","44","12/01/2024 18:02:49"
"857250","3","514051","2T","44","12/01/2024 11:05:29"
"857250","4","514051","2T","42","12/01/2024 14:29:25"
"857250","5","514051","2T","40","17/01/2024 11:07:16"
"857250","6","514051","3T","44","12/01/2024 16:52:59"
"857250","7","514051","3T","44","12/01/2024 16:41:35"
"857251","1","514051","3T","39","17/01/2024 9:49:01"
"857251","2","514051","3T","42","10/01/2024 11:13:07"
"857251","3","514051","3T","42","10/01/2024 10:39:32"
"857251","4","514051","4T","44","10/01/2024 13:48:03"
"857251","5","514051","4T","44","10/01/2024 18:47:13"
"857251","6","514051","4T","44","10/01/2024 12:10:21"
"857251","7","514051","4T","42","10/01/2024 17:46:20"
"857251","8","514051","4T","42","10/01/2024 11:02:33"
"857268","2","PH3461-23","3","14","17/01/2024 17:28:15"
"857313","1","515668","LG","4","18/01/2024 19:41:12"
"857337","1","278729","SM","3","09/03/2024 15:58:10"
"857348","1","DH2050-51","3","31","05/01/2024 18:57:01"
"857350","1","428065","M","2","30/01/2024 14:06:38"
"857350","2","428065","L","2","30/01/2024 14:10:11"
"857350","3","428065","XL","5","30/01/2024 14:03:39"
"857404","1","511705","LG","25","06/02/2024 13:03:07"
"857413","1","511708","2X","23","12/01/2024 12:59:31"
"857520","1","53948","M","3","12/02/2024 16:56:38"
"857520","2","53948","L","6","10/02/2024 16:03:55"
"857520","3","53948","XL","4","12/02/2024 10:16:09"
"857635","1","428066","L","40","07/01/2024 8:57:12"
"857635","2","428066","L","21","06/01/2024 17:32:55"
"857635","3","428066","XL","41","09/01/2024 15:11:13"
"857635","4","428066","XL","40","08/01/2024 14:05:15"
"857635","5","428066","XXL","29","09/01/2024 16:10:46"
"857721","1","PJ2909-51","1","25","04/01/2024 15:43:40"
"857721","2","PJ2909-51","10","40","04/01/2024 19:48:18"
"857721","3","PJ2909-51","10","25","04/01/2024 22:20:15"
"857721","4","PJ2909-51","10","15","04/01/2024 19:48:18"
"857721","5","PJ2909-51","10","15","04/01/2024 19:48:17"
"857721","6","PJ2909-51","12","40","04/01/2024 22:18:54"
"857721","7","PJ2909-51","12","25","04/01/2024 19:42:35"
"857721","8","PJ2909-51","12","15","04/01/2024 19:42:35"
"857721","9","PJ2909-51","12","12","04/01/2024 19:42:35"
"857721","10","PJ2909-51","12","12","04/01/2024 22:18:55"
"857721","11","PJ2909-51","14","40","09/01/2024 16:26:38"
"857721","12","PJ2909-51","14","25","05/01/2024 18:55:34"
"857721","13","PJ2909-51","14","15","04/01/2024 19:35:55"
"857721","14","PJ2909-51","14","12","04/01/2024 19:35:55"
"857721","15","PJ2909-51","14","10","04/01/2024 19:35:55"
"857721","16","PJ2909-51","16","39","05/01/2024 18:53:15"
"857721","17","PJ2909-51","16","25","04/01/2024 19:44:02"
"857721","18","PJ2909-51","16","12","04/01/2024 23:04:56"
"857721","19","PJ2909-51","16","11","04/01/2024 23:04:56"
"857722","1","PJ2909-51","2","40","04/01/2024 19:56:52"
"857722","2","PJ2909-51","2","25","05/01/2024 18:56:56"
"857722","3","PJ2909-51","3","40","04/01/2024 19:58:44"
"857722","4","PJ2909-51","3","10","04/01/2024 23:03:13"
"857722","5","PJ2909-51","3","10","04/01/2024 23:03:14"
"857722","6","PJ2909-51","4","39","04/01/2024 21:42:44"
"857722","7","PJ2909-51","4","15","04/01/2024 21:42:44"
