"FECHA","LINEA","EFICIENCIA"
"02/01/2024","3","75.65"
"02/01/2024","6","139.54"
"02/01/2024","7","118.1"
"02/01/2024","8","133.73"
"02/01/2024","10","121.49"
"02/01/2024","13","114.06"
"02/01/2024","18","132.72"
"02/01/2024","20","138.51"
"02/01/2024","28","135.05"
"02/01/2024","36","121.48"
"02/01/2024","37","116.6"
"02/01/2024","39","135.1"
"02/01/2024","41","99.88"
"02/01/2024","60","93.36"
"02/01/2024","61","67.51"
"02/01/2024","65","109.81"
"02/01/2024","70","78.71"
"02/01/2024","71","111.47"
"03/01/2024","2","116.58"
"03/01/2024","3","80.13"
"03/01/2024","6","106.89"
"03/01/2024","7","107.24"
"03/01/2024","8","114.03"
"03/01/2024","10","115.24"
"03/01/2024","11","108.29"
"03/01/2024","13","119.46"
"03/01/2024","18","109.36"
"03/01/2024","19","108.79"
"03/01/2024","20","112.06"
"03/01/2024","28","99.95"
"03/01/2024","34","129.6"
"03/01/2024","35","118.61"
"03/01/2024","36","110.98"
"03/01/2024","37","96.94"
"03/01/2024","39","113.17"
"03/01/2024","40","106.64"
"03/01/2024","41","90.17"
"03/01/2024","48","108.98"
"03/01/2024","60","115.59"
"03/01/2024","61","66.01"
"03/01/2024","65","81.09"
"03/01/2024","70","79.62"
"03/01/2024","71","79.37"
"04/01/2024","2","115.15"
"04/01/2024","3","86.25"
"04/01/2024","6","112.49"
"04/01/2024","7","120.6"
"04/01/2024","8","109.67"
"04/01/2024","10","130.52"
"04/01/2024","11","79.81"
"04/01/2024","12","122.7"
"04/01/2024","13","132.41"
"04/01/2024","18","89.76"
"04/01/2024","19","107.19"
"04/01/2024","20","109.6"
"04/01/2024","21","99.52"
"04/01/2024","28","99.2"
"04/01/2024","34","133.4"
"04/01/2024","35","130.73"
"04/01/2024","36","106.51"
"04/01/2024","37","89.62"
"04/01/2024","39","111.91"
"04/01/2024","40","113.86"
"04/01/2024","41","106.02"
"04/01/2024","48","113.92"
"04/01/2024","60","131.82"
"04/01/2024","61","89.5"
"04/01/2024","65","82.04"
"04/01/2024","70","88.13"
"04/01/2024","71","84.09"
"05/01/2024","3","123.18"
"05/01/2024","6","137.08"
"05/01/2024","8","132.42"
"05/01/2024","10","139.64"
"05/01/2024","11","81.11"
"05/01/2024","18","121.1"
"05/01/2024","19","129.56"
"05/01/2024","20","132.65"
"05/01/2024","28","117.52"
"05/01/2024","36","132.47"
