"FECHA","TCODICLIE","PRENDAS"
"02/01/2024","2023","3"
"02/01/2024","4003","29"
"02/01/2024","2","53"
"02/01/2024","234","74"
"02/01/2024","266","149"
"02/01/2024","1","22"
"02/01/2024","19","4"
"03/01/2024","234","1930"
"03/01/2024","2","1500"
"03/01/2024","266","11526"
"03/01/2024","4003","2467"
"03/01/2024","1","283"
"04/01/2024","266","7475"
"04/01/2024","2","3026"
"04/01/2024","4003","1901"
"04/01/2024","234","4510"
"04/01/2024","1","1342"
"05/01/2024","234","1971"
"05/01/2024","4003","2725"
"05/01/2024","266","7307"
"05/01/2024","2","4020"
"05/01/2024","1","405"
"06/01/2024","1","818"
"06/01/2024","234","3212"
"06/01/2024","4003","2229"
"06/01/2024","266","8634"
"06/01/2024","2","4968"
"07/01/2024","1","311"
"07/01/2024","234","1812"
"07/01/2024","2","2092"
"07/01/2024","266","9083"
"08/01/2024","4003","3053"
"08/01/2024","234","3875"
"08/01/2024","2","1787"
"08/01/2024","1","39"
"08/01/2024","266","7751"
"09/01/2024","1","1314"
"09/01/2024","266","9930"
"09/01/2024","234","6391"
"09/01/2024","2","7681"
"10/01/2024","266","13301"
"10/01/2024","2","7627"
"10/01/2024","1","791"
"10/01/2024","234","5048"
"11/01/2024","266","13369"
"11/01/2024","1","2297"
"11/01/2024","2","6420"
"11/01/2024","234","4658"
"12/01/2024","1","2345"
"12/01/2024","234","8941"
"12/01/2024","266","6448"
"12/01/2024","2","9454"
"13/01/2024","2","5926"
"13/01/2024","1","1676"
"13/01/2024","266","6713"
"13/01/2024","234","3487"
"14/01/2024","266","2"
"15/01/2024","266","6418"
"15/01/2024","4003","4"
"15/01/2024","2","4778"
"15/01/2024","234","8597"
"15/01/2024","1","1852"
"16/01/2024","266","6390"
"16/01/2024","1","3726"
"16/01/2024","234","5706"
"16/01/2024","2","7536"
"17/01/2024","266","7388"
"17/01/2024","2","8204"
"17/01/2024","1","1016"
"17/01/2024","234","5314"
"18/01/2024","2","8859"
"18/01/2024","234","4761"
"18/01/2024","1","434"
"18/01/2024","4003","5"
"18/01/2024","266","6131"
"19/01/2024","2","5920"
"19/01/2024","1","613"
"19/01/2024","266","5608"
"19/01/2024","234","3773"
"20/01/2024","234","5019"
"20/01/2024","1","229"
"20/01/2024","2","3790"
"20/01/2024","266","4137"
"20/01/2024","4003","1"
"22/01/2024","1","156"
"22/01/2024","234","7249"
"22/01/2024","266","3811"
"22/01/2024","2","4779"
"22/01/2024","4003","2"
"23/01/2024","234","4450"
"23/01/2024","1","184"
"23/01/2024","266","6857"
"23/01/2024","2","8093"
"24/01/2024","1","566"
"24/01/2024","2","9559"
"24/01/2024","4003","87"
"24/01/2024","266","4835"
"24/01/2024","234","6116"
"25/01/2024","2","7113"
"25/01/2024","266","1939"
"25/01/2024","1","935"
"25/01/2024","234","3987"
"26/01/2024","266","2007"
"26/01/2024","1","1308"
"26/01/2024","234","3068"
"26/01/2024","2","7411"
"27/01/2024","2","5676"
"27/01/2024","234","1332"
"27/01/2024","1","989"
"27/01/2024","266","3964"
"27/01/2024","4003","175"
"28/01/2024","2","295"
"28/01/2024","266","6221"
"29/01/2024","234","1343"
"29/01/2024","4003","246"
"29/01/2024","2","7681"
"29/01/2024","1","1564"
"29/01/2024","266","708"
"30/01/2024","266","1396"
"30/01/2024","1","1208"
"30/01/2024","234","1361"
"30/01/2024","2","12562"
"30/01/2024","4003","414"
"31/01/2024","1","2223"
"31/01/2024","2","11643"
"31/01/2024","4003","184"
"31/01/2024","234","2163"
"31/01/2024","266","1944"
"01/02/2024","1","1110"
"01/02/2024","4003","632"
"01/02/2024","234","824"
"01/02/2024","2","11350"
"01/02/2024","266","3907"
"02/02/2024","266","3755"
"02/02/2024","1","1611"
"02/02/2024","2","8310"
"02/02/2024","234","565"
"02/02/2024","4003","899"
"03/02/2024","234","266"
"03/02/2024","266","2143"
"03/02/2024","4003","1893"
"03/02/2024","2","8626"
"03/02/2024","1","1363"
"05/02/2024","1","1213"
"05/02/2024","2","7072"
"05/02/2024","2023","1"
"05/02/2024","234","299"
"05/02/2024","266","2192"
"05/02/2024","4003","1011"
"06/02/2024","2","6965"
"06/02/2024","1","1647"
"06/02/2024","4003","1822"
"06/02/2024","2023","169"
"06/02/2024","234","811"
"06/02/2024","266","2637"
"07/02/2024","4003","1540"
"07/02/2024","266","2942"
"07/02/2024","2","9751"
"07/02/2024","2023","84"
"07/02/2024","234","354"
"07/02/2024","1","2120"
"08/02/2024","266","3745"
"08/02/2024","234","139"
"08/02/2024","1","2311"
"08/02/2024","2","10547"
"09/02/2024","2023","120"
"09/02/2024","2","10564"
"09/02/2024","266","2232"
"09/02/2024","234","89"
"09/02/2024","1","2085"
"10/02/2024","1","1111"
"10/02/2024","2","8691"
"10/02/2024","266","4244"
"10/02/2024","234","642"
"12/02/2024","266","434"
"12/02/2024","1","848"
"12/02/2024","2","4937"
"13/02/2024","2023","403"
"13/02/2024","266","4732"
"13/02/2024","2","12511"
"13/02/2024","234","664"
"13/02/2024","1","2170"
"14/02/2024","2","11678"
"14/02/2024","266","4233"
