"FECHA","LINEA","TCODICLIE","PRENDAS"
"03/01/2024","18","4003","669"
"03/01/2024","98","2","686"
"03/01/2024","34","234","862"
"03/01/2024","37","4003","1440"
"03/01/2024","13","2","323"
"03/01/2024","65","2","58"
"03/01/2024","8","266","959"
"03/01/2024","6","266","989"
"03/01/2024","41","266","463"
"03/01/2024","36","2","48"
"03/01/2024","61","266","175"
"03/01/2024","28","4003","358"
"03/01/2024","35","2","383"
"03/01/2024","4","266","1464"
"03/01/2024","45","266","408"
"03/01/2024","7","234","787"
"03/01/2024","48","266","1028"
"03/01/2024","12","266","924"
"03/01/2024","40","266","1198"
"03/01/2024","2","266","1171"
"03/01/2024","11","266","1327"
"03/01/2024","71","234","280"
"03/01/2024","19","1","281"
"03/01/2024","44","266","518"
"03/01/2024","16","266","900"
"04/01/2024","41","266","818"
"04/01/2024","7","234","1776"
"04/01/2024","19","1","1342"
"04/01/2024","48","266","662"
"04/01/2024","98","2","587"
"04/01/2024","45","266","472"
"04/01/2024","28","4003","485"
"04/01/2024","8","266","475"
"04/01/2024","3","234","62"
"04/01/2024","3","2","87"
"04/01/2024","39","2","611"
"04/01/2024","34","234","2240"
"04/01/2024","18","4003","759"
"04/01/2024","71","234","432"
"04/01/2024","16","266","1020"
"04/01/2024","10","2","326"
"04/01/2024","35","2","1093"
"04/01/2024","20","2","90"
"04/01/2024","37","4003","657"
"04/01/2024","40","266","181"
"04/01/2024","6","266","1019"
"04/01/2024","12","266","124"
"04/01/2024","70","2","121"
"04/01/2024","2","266","645"
"04/01/2024","11","266","704"
"04/01/2024","27","266","449"
"04/01/2024","44","266","906"
"04/01/2024","71","2","111"
"05/01/2024","34","234","172"
"05/01/2024","12","266","1104"
"05/01/2024","37","4003","900"
"05/01/2024","8","266","573"
"05/01/2024","7","234","1378"
"05/01/2024","11","266","757"
"05/01/2024","18","4003","1150"
"05/01/2024","48","266","521"
"05/01/2024","16","266","812"
"05/01/2024","61","2","123"
"05/01/2024","6","266","433"
"05/01/2024","28","4003","675"
"05/01/2024","35","2","1551"
"05/01/2024","10","2","726"
"05/01/2024","3","2","37"
"05/01/2024","98","2","147"
"05/01/2024","2","266","916"
"05/01/2024","70","2","285"
"05/01/2024","41","266","669"
"05/01/2024","36","2","362"
"05/01/2024","45","266","346"
"05/01/2024","39","2","358"
"05/01/2024","19","1","404"
"05/01/2024","71","2","159"
"05/01/2024","27","266","276"
"05/01/2024","13","2","269"
"05/01/2024","44","266","898"
"05/01/2024","3","234","417"
"06/01/2024","40","266","377"
"06/01/2024","20","1","146"
"06/01/2024","16","266","346"
"06/01/2024","7","234","670"
