"FECHA","INSPECCION_TOTAL","FALLAS_SEGUNDAS","PORC_SEGUNDAS"
"03/01/2024","22236","313","1.41"
"04/01/2024","15333","170","1.11"
"05/01/2024","17601","242","1.37"
"06/01/2024","25694","326","1.27"
"07/01/2024","10749","77","0.72"
"08/01/2024","14174","148","01.04"
"09/01/2024","25954","209","0.81"
"10/01/2024","28637","386","1.35"
"11/01/2024","25186","245","0.97"
"12/01/2024","28632","227","0.79"
"13/01/2024","17545","185","01.05"
"15/01/2024","21586","182","0.84"
"16/01/2024","19974","174","0.87"
"17/01/2024","20778","230","1.11"
"18/01/2024","21698","296","1.36"
"19/01/2024","17095","167","0.98"
"20/01/2024","10188","76","0.75"
"22/01/2024","20531","249","1.21"
"23/01/2024","20612","377","1.83"
"24/01/2024","17180","192","1.12"
"25/01/2024","14139","187","1.32"
"26/01/2024","13886","134","0.97"
"27/01/2024","10825","155","1.43"
"28/01/2024","5432","56","01.03"
"29/01/2024","13959","135","0.97"
"30/01/2024","19134","292","1.53"
"31/01/2024","15311","202","1.32"
"01/02/2024","20507","191","0.93"
"02/02/2024","15492","153","0.99"
"03/02/2024","9898","105","01.06"
"05/02/2024","15169","162","01.07"
"06/02/2024","14119","222","1.57"
"07/02/2024","18760","237","1.26"
"08/02/2024","15695","155","0.99"
"09/02/2024","13342","138","01.03"
"10/02/2024","15424","115","0.75"
"12/02/2024","7389","60","0.81"
"13/02/2024","20164","147","0.73"
"14/02/2024","19130","173","0.9"
"15/02/2024","19911","263","1.32"
"16/02/2024","15715","278","1.77"
"17/02/2024","16882","218","1.29"
"19/02/2024","14292","116","0.81"
"20/02/2024","16553","200","1.21"
"21/02/2024","17432","170","0.98"
"22/02/2024","17522","175","1"
"23/02/2024","16021","130","0.81"
"24/02/2024","10838","116","01.07"
"26/02/2024","17577","173","0.98"
"27/02/2024","17261","184","01.07"
"28/02/2024","16248","167","01.03"
"29/02/2024","16429","121","0.74"
"01/03/2024","14356","132","0.92"
"02/03/2024","8936","67","0.75"
"04/03/2024","10701","92","0.86"
"05/03/2024","13823","108","0.78"
"06/03/2024","11058","113","01.02"
"07/03/2024","13398","135","01.01"
"08/03/2024","14786","169","1.14"
"09/03/2024","11638","106","0.91"
"11/03/2024","11645","149","1.28"
"12/03/2024","14259","189","1.33"
"13/03/2024","14126","239","1.69"
"14/03/2024","15215","156","01.03"
"15/03/2024","13746","148","01.08"
"16/03/2024","17625","197","1.12"
"18/03/2024","17764","226","1.27"
"19/03/2024","15344","252","1.64"
"20/03/2024","16326","247","1.51"
"21/03/2024","19324","339","1.75"
"22/03/2024","21890","373","1.7"
"23/03/2024","11364","144","1.27"
"24/03/2024","13089","237","1.81"
"25/03/2024","18829","240","1.27"
"26/03/2024","21902","326","1.49"
"27/03/2024","27404","332","1.21"
"28/03/2024","36739","444","1.21"
"29/03/2024","22995","330","1.44"
"30/03/2024","19495","277","1.42"
"31/03/2024","3662","83","2.27"
"01/04/2024","7001","68","0.97"
"02/04/2024","12519","117","0.93"
"03/04/2024","24003","250","01.04"
"04/04/2024","19625","199","01.01"
"05/04/2024","18193","303","1.67"
"06/04/2024","14095","312","2.21"
"07/04/2024","416","10","2.4"
"08/04/2024","16725","304","1.82"
"09/04/2024","23197","550","2.37"
"10/04/2024","23043","428","1.86"
"11/04/2024","19822","317","1.6"
"12/04/2024","19189","283","1.47"
"13/04/2024","14309","632","4.42"
"15/04/2024","19782","246","1.24"
"16/04/2024","22337","451","02.02"
"17/04/2024","17452","307","1.76"
"18/04/2024","21949","481","2.19"
"19/04/2024","15197","320","2.11"
"20/04/2024","18015","261","1.45"
"21/04/2024","1955","6","0.31"
"22/04/2024","20919","230","1.1"
"23/04/2024","19713","297","1.51"
"24/04/2024","26342","447","1.7"
"25/04/2024","24655","428","1.74"
"26/04/2024","23257","467","02.01"
"27/04/2024","17918","473","2.64"
"28/04/2024","1452","23","1.58"
"29/04/2024","30864","1003","3.25"
"30/04/2024","26045","973","3.74"
"01/05/2024","26831","473","1.76"
"02/05/2024","16215","314","1.94"
"03/05/2024","16584","299","1.8"
"04/05/2024","13387","158","1.18"
"06/05/2024","15531","389","2.5"
"07/05/2024","19912","501","2.52"
"08/05/2024","24337","640","2.63"
"09/05/2024","24906","533","2.14"
"10/05/2024","21134","521","2.47"
"11/05/2024","17044","220","1.29"
"12/05/2024","629","7","1.11"
"13/05/2024","21719","410","1.89"
"14/05/2024","27066","978","3.61"
"15/05/2024","25115","600","2.39"
"16/05/2024","22892","308","1.35"
"17/05/2024","19498","262","1.34"
"18/05/2024","21113","371","1.76"
"19/05/2024","529","8","1.51"
"20/05/2024","24182","923","3.82"
"21/05/2024","28031","430","1.53"
"22/05/2024","23937","367","1.53"
"23/05/2024","23229","792","3.41"
"24/05/2024","24956","479","1.92"
"25/05/2024","20501","402","1.96"
"26/05/2024","5385","151","2.8"
"27/05/2024","21885","598","2.73"
"28/05/2024","21093","1286","6.1"
"29/05/2024","27945","505","1.81"
"30/05/2024","27067","403","1.49"
"31/05/2024","31711","1186","3.74"
"01/06/2024","30046","809","2.69"
"02/06/2024","4121","274","6.65"
"03/06/2024","13053","241","1.85"
"04/06/2024","13972","243","1.74"
"05/06/2024","26530","294","1.11"
"06/06/2024","19735","300","1.52"
"07/06/2024","22716","452","1.99"
"08/06/2024","17936","213","1.19"
"09/06/2024","882","9","01.02"
"10/06/2024","22067","255","1.16"
"11/06/2024","27041","356","1.32"
"12/06/2024","25797","350","1.36"
"13/06/2024","25179","337","1.34"
"14/06/2024","29175","332","1.14"
"15/06/2024","14204","213","1.5"
"16/06/2024","1488","7","0.47"
"17/06/2024","25955","273","01.05"
"18/06/2024","20201","260","1.29"
"19/06/2024","22580","318","1.41"
"20/06/2024","21821","276","1.26"
"21/06/2024","25272","282","1.12"
"22/06/2024","19491","267","1.37"
"23/06/2024","430","6","1.4"
"24/06/2024","25608","356","1.39"
"25/06/2024","28727","327","1.14"
"26/06/2024","24398","324","1.33"
"27/06/2024","29832","394","1.32"
"28/06/2024","30619","564","1.84"
"29/06/2024","38556","494","1.28"
"30/06/2024","23286","323","1.39"
"01/07/2024","13294","153","1.15"
"02/07/2024","15183","198","1.3"
"03/07/2024","21022","353","1.68"
"04/07/2024","26416","305","1.15"
"05/07/2024","23456","307","1.31"
"06/07/2024","17133","289","1.69"
"07/07/2024","872","16","1.83"
"08/07/2024","18641","227","1.22"
"09/07/2024","29772","307","01.03"
"10/07/2024","21766","275","1.26"
"11/07/2024","24605","304","1.24"
"12/07/2024","24234","307","1.27"
"13/07/2024","19166","300","1.57"
"14/07/2024","1568","9","0.57"
"15/07/2024","21633","243","1.12"
"16/07/2024","20020","234","1.17"
"17/07/2024","25922","328","1.27"
"18/07/2024","24900","306","1.23"
"19/07/2024","25129","229","0.91"
"20/07/2024","25643","399","1.56"
"21/07/2024","4831","149","03.08"
"22/07/2024","25613","276","01.08"
"23/07/2024","21408","220","01.03"
"24/07/2024","25858","213","0.82"
"25/07/2024","38470","339","0.88"
"26/07/2024","27135","220","0.81"
"27/07/2024","24595","262","01.07"
"28/07/2024","3722","109","2.93"
"29/07/2024","766","19","2.48"
"30/07/2024","24405","289","1.18"
"31/07/2024","29505","383","1.3"
"01/08/2024","21983","353","1.61"
"02/08/2024","16179","245","1.51"
"03/08/2024","20440","206","01.01"
"04/08/2024","1200","19","1.58"
"05/08/2024","24775","381","1.54"
"06/08/2024","20921","263","1.26"
"07/08/2024","24346","279","1.15"
"08/08/2024","26239","342","1.3"
"09/08/2024","28846","335","1.16"
"10/08/2024","19715","213","01.08"
"11/08/2024","2486","71","2.86"
"12/08/2024","20350","235","1.15"
"13/08/2024","27067","315","1.16"
"14/08/2024","27675","280","01.01"
"15/08/2024","29458","271","0.92"
"16/08/2024","32085","373","1.16"
"17/08/2024","29726","333","1.12"
"18/08/2024","4971","131","2.64"
"19/08/2024","16685","153","0.92"
"20/08/2024","24555","354","1.44"
"21/08/2024","26466","302","1.14"
"22/08/2024","29553","371","1.26"
"23/08/2024","26195","371","1.42"
"24/08/2024","28578","481","1.68"
"25/08/2024","2885","222","7.69"
"26/08/2024","24279","235","0.97"
"27/08/2024","27799","301","01.08"
"28/08/2024","32516","267","0.82"
"29/08/2024","27093","343","1.27"
"30/08/2024","29001","451","1.56"
"31/08/2024","5642","109","1.93"
"01/09/2024","1986","70","3.52"
"02/09/2024","12610","122","0.97"
"03/09/2024","22832","307","1.34"
"04/09/2024","23813","269","1.13"
"05/09/2024","26075","272","01.04"
"06/09/2024","17920","252","1.41"
"07/09/2024","19596","205","01.05"
"08/09/2024","1712","15","0.88"
"09/09/2024","19340","268","1.39"
"10/09/2024","20471","343","1.68"
"11/09/2024","18822","290","1.54"
"12/09/2024","21978","263","1.2"
"13/09/2024","21299","357","1.68"
"14/09/2024","16100","240","1.49"
"15/09/2024","1537","21","1.37"
"16/09/2024","12560","135","01.07"
"17/09/2024","31962","469","1.47"
"18/09/2024","26805","328","1.22"
"19/09/2024","24362","269","1.1"
"20/09/2024","24893","317","1.27"
"21/09/2024","20894","370","1.77"
"22/09/2024","2158","38","1.76"
"23/09/2024","20951","242","1.16"
"24/09/2024","27247","441","1.62"
"25/09/2024","29367","534","1.82"
"26/09/2024","22606","222","0.98"
"27/09/2024","31512","317","01.01"
"28/09/2024","24112","239","0.99"
"29/09/2024","8019","165","02.06"
"30/09/2024","19260","203","01.05"
"1/10/2024","23238","275","1.18"
"2/10/2024","24579","302","1.23"
"3/10/2024","23432","220","0.94"
"4/10/2024","23396","210","0.9"
"5/10/2024","19451","237","1.22"
"6/10/2024","2233","12","0.54"
"7/10/2024","19297","110","0.57"
"8/10/2024","3653","17","0.47"
"9/10/2024","18046","51","0.28"
"10/10/2024","12967","10","0.08"
"11/10/2024","365","0","0"
