insertId,jsonPayload.application,jsonPayload.container,jsonPayload.container_logname,jsonPayload.filename,jsonPayload.message,"'labels.""compute.googleapis.com/resource_id""","'labels.""compute.googleapis.com/resource_name""","'labels.""compute.googleapis.com/zone""","'labels.""goog-drz-cloudfunctions-id""","'labels.""goog-drz-cloudfunctions-location""","'labels.""goog-managed-by""",labels.instanceId,"'labels.""run.googleapis.com/base_image_versions""",logName,receiveLocation,receiveTimestamp,resource.labels.cluster_name,resource.labels.cluster_uuid,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.region,resource.labels.revision_name,resource.labels.service_name,resource.type,textPayload,timestamp
9gj0c4xjpypw4e3c0,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getBlockURI()     = file:/hadoop/dfs/data/current/BP-1133165532-10.142.0.7-1763408023554/current/finalized/subdir0/subdir0/blk_1073741875 for deletion",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.588339175Z"
9gj0c4xjpypw4e3b9,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getVolume()       = /hadoop/dfs/data",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.588135683Z"
9gj0c4xjpypw4e3b8,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getVisibleLength()= 290182",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.587988477Z"
9gj0c4xjpypw4e3b7,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getBytesOnDisk()  = 290182",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.587736310Z"
9gj0c4xjpypw4e3b6,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getNumBytes()     = 290182",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.587531627Z"
9gj0c4xjpypw4e3b3,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getBlockURI()     = file:/hadoop/dfs/data/current/BP-1133165532-10.142.0.7-1763408023554/current/finalized/subdir0/subdir0/blk_1073741874 for deletion",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.586899482Z"
9gj0c4xjpypw4e3b2,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getVolume()       = /hadoop/dfs/data",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.586640563Z"
9gj0c4xjpypw4e3b1,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getVisibleLength()= 42404",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.586457837Z"
9gj0c4xjpypw4e3b0,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getBytesOnDisk()  = 42404",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.586242798Z"
9gj0c4xjpypw4e3a9,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getNumBytes()     = 42404",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.586081810Z"
9gj0c4xjpypw4e3a5,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getBlockURI()     = file:/hadoop/dfs/data/current/BP-1133165532-10.142.0.7-1763408023554/current/finalized/subdir0/subdir0/blk_1073741873 for deletion",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.585167698Z"
9gj0c4xjpypw4e3a4,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getVolume()       = /hadoop/dfs/data",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.584949834Z"
9gj0c4xjpypw4e3a3,,,,"'hadoop-hdfs-datanode-nettalco-cluster-w-1.log","'  getVisibleLength()= 1532101",4809950276057745692,"'nettalco-cluster-w-1","'us-east1-c",,,,,,"'projects/nettalco-data-478503/logs/hadoop-hdfs-datanode",,"'2025-12-02T02:04:45.462178516Z","'nettalco-cluster","'6a7a4c81-c3f1-442f-bf06-59039bdee059",,,"'nettalco-data-478503","'us-east1",,,cloud_dataproc_cluster,,"'2025-12-02T02:04:39.584770067Z"
