insertId,jsonPayload.application_id,jsonPayload.class,jsonPayload.component,jsonPayload.executor_id,jsonPayload.filename,jsonPayload.level,jsonPayload.message,"'labels.""dataproc.googleapis.com/resource_id""","'labels.""dataproc.googleapis.com/resource_name""",logName,receiveLocation,receiveTimestamp,resource.labels.batch_id,resource.labels.location,resource.labels.project_id,resource.type,severity,timestamp
6zsqlqhhukt1kgwdd,,Worker,worker,,worker.out,,RECEIVED SIGNAL TERM,243829952224251369,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-w-1","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fspark",,"'2025-12-16T05:53:20.455190858Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,ERROR,"'2025-12-16T05:53:20.455190858Z"
lp7ojue497xauutsg,,Worker,worker,,worker.out,,RECEIVED SIGNAL TERM,8713699897400708585,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-w-0","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fspark",,"'2025-12-16T05:53:20.286219329Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,ERROR,"'2025-12-16T05:53:20.286219329Z"
jvp64ll9q2b0113qt,,Master,master,,master.out,,RECEIVED SIGNAL TERM,322547584544361961,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-m","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fspark",,"'2025-12-16T05:53:20.169945807Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,ERROR,"'2025-12-16T05:53:20.169945807Z"
6zsqlqhhukt1kgwde,,,containerd,,containerd.err,info,"'""Stream server stopped""",243829952224251369,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-w-1","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fcontainer",,"'2025-12-16T05:53:20.455190858Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,,"'2025-12-16T05:53:18.809260435Z"
6zsqlqhhukt1kgwdc,,,containerd,,containerd.err,info,"'""Event monitor stopped""",243829952224251369,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-w-1","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fcontainer",,"'2025-12-16T05:53:20.455190858Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,,"'2025-12-16T05:53:18.809248095Z"
6zsqlqhhukt1kgwdb,,,containerd,,containerd.err,info,"'""Stop CRI service""",243829952224251369,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-w-1","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fcontainer",,"'2025-12-16T05:53:20.455190858Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,,"'2025-12-16T05:53:18.809169444Z"
6zsqlqhhukt1kgwda,,,containerd,,containerd.err,info,"'""Stop CRI service""",243829952224251369,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-w-1","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fcontainer",,"'2025-12-16T05:53:20.455190858Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,,"'2025-12-16T05:53:18.800262712Z"
jvp64ll9q2b0113qu,,,containerd,,containerd.err,info,"'""Stream server stopped""",322547584544361961,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-m","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fcontainer",,"'2025-12-16T05:53:20.169945807Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,,"'2025-12-16T05:53:18.738970450Z"
jvp64ll9q2b0113qs,,,containerd,,containerd.err,info,"'""Event monitor stopped""",322547584544361961,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-m","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fcontainer",,"'2025-12-16T05:53:20.169945807Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,,"'2025-12-16T05:53:18.738926502Z"
jvp64ll9q2b0113qr,,,containerd,,containerd.err,info,"'""Stop CRI service""",322547584544361961,"'gdpic-srvls-batch-05885bcf-2746-4f07-a781-bf97f4b28f16-m","'projects/final-espinal-aguilar/logs/dataproc.googleapis.com%2Fcontainer",,"'2025-12-16T05:53:20.169945807Z","'jb-medallion-20251216-054754","'southamerica-west1","'final-espinal-aguilar",cloud_dataproc_batch,,"'2025-12-16T05:53:18.738811174Z"
