ID_SOT,Estado SOT,Fecha Creacion,Fecha Factibilidad,Fecha Atendido Rechazado,ID Rechazo,Departamento,Provincia,Distrito,Region
1000001,Pendiente,13/06/2022 18:36,Sin Información,Sin Información,,Ancash,Ocros,Ocros,Centro
1000002,Atendido,15/09/2022 14:49,15/09/2022 14:49,21/09/2022 14:49,,Huancavelica,Huancavelica,Acoria,Centro
1000003,Atendido,09/02/2022 20:29,12/02/2022 20:29,22/02/2022 20:29,,Huanuco,Yarowilca,Obas,Centro
1000004,Pendiente,12/06/2022 08:12,14/06/2022 08:12,Sin Información,,Huanuco,Yarowilca,Chacabamba,Centro
1000005,Duplicado/Riesgo/Fraude,17/07/2022 07:32,Sin Información,21/07/2022 07:32,63,Loreto,Datem Del Marañon,Cahuapanas,Norte
1000006,Pendiente,20/02/2022 16:48,Sin Información,Sin Información,,Cajamarca,San Miguel,San Silvestre De Cochan,Norte
1000007,Pendiente,17/01/2022 01:00,Sin Información,Sin Información,,Amazonas,Rodriguez De Mendoza,Omia,Norte
1000008,Pendiente,14/05/2022 05:35,14/05/2022 05:35,Sin Información,,Arequipa,Arequipa,Cerro Colorado,Sur
1000009,Atendido,04/12/2022 09:25,07/12/2022 09:25,16/12/2022 09:25,,Piura,Ayabaca,Lagunas,Norte
1000010,Rechazado,01/02/2022 06:54,01/02/2022 06:54,10/02/2022 06:54,11,Junin,Jauja,Yauli,Centro
1000011,Duplicado/Riesgo/Fraude,08/04/2022 22:58,Sin Información,10/04/2022 22:58,91,Lima,Huarochiri,Mariatana,Lima
1000012,Rechazado,05/02/2022 20:57,05/02/2022 20:57,20/02/2022 20:57,51,Cusco,Urubamba,Chinchero,Sur
1000013,Pendiente,18/09/2022 12:30,Sin Información,Sin Información,,Lima,Oyon,Andajes,Lima
1000014,Pendiente,31/10/2022 04:52,Sin Información,Sin Información,,Cajamarca,San Ignacio,Chirinos,Norte
1000015,Duplicado/Riesgo/Fraude,17/11/2022 08:54,Sin Información,19/11/2022 08:54,60,Huanuco,Ambo,Ambo,Centro
1000016,Pendiente,17/01/2022 12:54,18/01/2022 12:54,Sin Información,,Junin,Yauli,Marcapomacocha,Centro
1000017,Duplicado/Riesgo/Fraude,06/12/2022 05:05,Sin Información,08/12/2022 05:05,88,Cusco,Canchis,San Pablo,Sur
1000018,Duplicado/Riesgo/Fraude,06/09/2022 22:31,Sin Información,10/09/2022 22:31,35,Huanuco,Huamalies,Jacas Grande,Centro
1000019,Atendido,22/11/2022 18:31,22/11/2022 18:31,01/12/2022 18:31,,Huancavelica,Huancavelica,Acobambilla,Centro
