1000001,PENDIENTE,13/06/2022 18:36,,,,ANCASH,OCROS,OCROS,CENTRO
1000002,ATENDIDO,15/09/2022 14:49,15/09/2022 14:49,21/09/2022 14:49,,HUANCAVELICA,HUANCAVELICA,ACORIA,CENTRO
1000003,ATENDIDO,09/02/2022 20:29,12/02/2022 20:29,22/02/2022 20:29,,HUANUCO,YAROWILCA,OBAS,CENTRO
1000004,PENDIENTE,12/06/2022 08:12,14/06/2022 08:12,,,HUANUCO,YAROWILCA,CHACABAMBA,CENTRO
1000005,DUPLICADO/RIESGO/FRAUDE,17/07/2022 07:32,,21/07/2022 07:32,63,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,NORTE
1000006,PENDIENTE,20/02/2022 16:48,,,,CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,NORTE
1000007,PENDIENTE,17/01/2022 01:00,,,,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,NORTE
1000008,PENDIENTE,14/05/2022 05:35,14/05/2022 05:35,,,AREQUIPA,AREQUIPA,CERRO COLORADO,SUR
1000009,ATENDIDO,04/12/2022 09:25,07/12/2022 09:25,16/12/2022 09:25,,PIURA,AYABACA,LAGUNAS,NORTE
1000010,RECHAZADO,01/02/2022 06:54,01/02/2022 06:54,10/02/2022 06:54,11,JUNIN,JAUJA,YAULI,CENTRO
1000011,DUPLICADO/RIESGO/FRAUDE,08/04/2022 22:58,,10/04/2022 22:58,91,LIMA,HUAROCHIRI,MARIATANA,LIMA
1000012,RECHAZADO,05/02/2022 20:57,05/02/2022 20:57,20/02/2022 20:57,51,CUSCO,URUBAMBA,CHINCHERO,SUR
1000013,PENDIENTE,18/09/2022 12:30,,,,LIMA,OYON,ANDAJES,LIMA
1000014,PENDIENTE,31/10/2022 04:52,,,,CAJAMARCA,SAN IGNACIO,CHIRINOS,NORTE
1000015,DUPLICADO/RIESGO/FRAUDE,17/11/2022 08:54,,19/11/2022 08:54,60,HUANUCO,AMBO,AMBO,CENTRO
1000016,PENDIENTE,17/01/2022 12:54,18/01/2022 12:54,,,JUNIN,YAULI,MARCAPOMACOCHA,CENTRO
1000017,DUPLICADO/RIESGO/FRAUDE,06/12/2022 05:05,,08/12/2022 05:05,88,CUSCO,CANCHIS,SAN PABLO,SUR
1000018,DUPLICADO/RIESGO/FRAUDE,06/09/2022 22:31,,10/09/2022 22:31,35,HUANUCO,HUAMALIES,JACAS GRANDE,CENTRO
1000019,ATENDIDO,22/11/2022 18:31,22/11/2022 18:31,01/12/2022 18:31,,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,CENTRO
1000020,ATENDIDO,04/11/2022 04:54,06/11/2022 04:54,10/11/2022 04:54,,ANCASH,OCROS,CARHUAPAMPA,CENTRO
1000021,ATENDIDO,14/01/2022 20:45,14/01/2022 20:45,18/01/2022 20:45,,APURIMAC,GRAU,SANTA ROSA,SUR
1000022,ATENDIDO,17/12/2022 00:07,19/12/2022 00:07,26/12/2022 00:07,,SAN MARTIN,SAN MARTIN,SHAPAJA,NORTE
1000023,DUPLICADO/RIESGO/FRAUDE,21/09/2022 15:31,,23/09/2022 15:31,9,LIMA,LIMA,VILLA EL SALVADOR,LIMA
1000024,PENDIENTE,06/02/2022 04:46,,,,AYACUCHO,VICTOR FAJARDO,VILCANCHOS,CENTRO
1000025,DUPLICADO/RIESGO/FRAUDE,13/05/2022 06:51,,15/05/2022 06:51,49,CAJAMARCA,CAJABAMBA,CACHACHI,NORTE
1000026,RECHAZADO,08/05/2022 08:33,11/05/2022 08:33,17/05/2022 08:33,89,CUSCO,ESPINAR,CONDOROMA,SUR
1000027,PENDIENTE,09/02/2022 05:01,,,,AYACUCHO,VILCAS HUAMAN,CARHUANCA,CENTRO
1000028,ATENDIDO,05/01/2022 20:09,06/01/2022 20:09,08/01/2022 20:09,,CAJAMARCA,SANTA CRUZ,CATACHE,NORTE
1000029,DUPLICADO/RIESGO/FRAUDE,26/01/2022 05:06,,29/01/2022 05:06,9,PUNO,PUNO,HUATA,SUR
1000030,PENDIENTE,11/08/2022 08:23,,,,PIURA,AYABACA,FRIAS,NORTE
1000031,ATENDIDO,25/08/2022 13:37,28/08/2022 13:37,02/09/2022 13:37,,HUANCAVELICA,ACOBAMBA,ANDABAMBA,CENTRO
1000032,DUPLICADO/RIESGO/FRAUDE,30/08/2022 18:09,,04/09/2022 18:09,8,AMAZONAS,LUYA,INGUILPATA,NORTE
1000033,DUPLICADO/RIESGO/FRAUDE,06/07/2022 13:01,,08/07/2022 13:01,61,CAJAMARCA,CONTUMAZA,TANTARICA,NORTE
1000034,DUPLICADO/RIESGO/FRAUDE,13/03/2022 19:32,,18/03/2022 19:32,26,AMAZONAS,BONGARA,SHIPASBAMBA,NORTE
1000035,DUPLICADO/RIESGO/FRAUDE,09/08/2022 06:45,,13/08/2022 06:45,43,ANCASH,AIJA,LA MERCED,CENTRO
1000036,PENDIENTE,13/04/2022 04:48,13/04/2022 04:48,,,LIMA,HUAROCHIRI,SAN JUAN DE IRIS,LIMA
1000037,DUPLICADO/RIESGO/FRAUDE,27/04/2022 07:50,,01/05/2022 07:50,52,LA LIBERTAD,PACASMAYO,SAN JOSE,NORTE
1000038,RECHAZADO,12/02/2022 19:42,13/02/2022 19:42,27/02/2022 19:42,34,AREQUIPA,CAYLLOMA,MAJES,SUR
1000039,DUPLICADO/RIESGO/FRAUDE,27/08/2022 10:19,,29/08/2022 10:19,24,PASCO,DANIEL ALCIDES CARRION,TAPUC,CENTRO
1000040,DUPLICADO/RIESGO/FRAUDE,30/08/2022 16:44,,31/08/2022 16:44,17,HUANCAVELICA,CHURCAMPA,EL CARMEN,CENTRO
1000041,RECHAZADO,12/10/2022 21:54,12/10/2022 21:54,18/10/2022 21:54,46,SAN MARTIN,LAMAS,RUMISAPA,NORTE
1000042,RECHAZADO,06/10/2022 07:59,09/10/2022 07:59,17/10/2022 07:59,95,LIMA,CAÑETE,QUILMANA,LIMA
1000043,PENDIENTE,27/02/2022 04:07,,,,JUNIN,JAUJA,PACA,CENTRO
1000044,ATENDIDO,15/05/2022 09:11,15/05/2022 09:11,18/05/2022 09:11,,PUNO,EL COLLAO,CONDURIRI,SUR
1000045,ATENDIDO,10/02/2022 05:07,10/02/2022 05:07,17/02/2022 05:07,,LIMA,HUAROCHIRI,MARIATANA,LIMA
1000046,ATENDIDO,11/03/2022 18:02,11/03/2022 18:02,15/03/2022 18:02,,AREQUIPA,CASTILLA,ANDAGUA,SUR
1000047,DUPLICADO/RIESGO/FRAUDE,31/10/2022 15:25,,01/11/2022 15:25,6,CUSCO,ESPINAR,PICHIGUA,SUR
1000048,PENDIENTE,02/08/2022 10:49,03/08/2022 10:49,,,LORETO,LORETO,PARINARI,NORTE
1000049,ATENDIDO,02/06/2022 04:03,02/06/2022 04:03,15/06/2022 04:03,,ANCASH,HUARAZ,TARICA,CENTRO
1000050,DUPLICADO/RIESGO/FRAUDE,18/03/2022 20:50,,22/03/2022 20:50,51,SAN MARTIN,PICOTA,SAN CRISTOBAL,NORTE
1000051,ATENDIDO,02/03/2022 00:10,02/03/2022 00:10,09/03/2022 00:10,,JUNIN,JAUJA,YAULI,CENTRO
1000052,DUPLICADO/RIESGO/FRAUDE,16/12/2022 11:56,,20/12/2022 11:56,9,ICA,ICA,TATE,SUR
1000053,DUPLICADO/RIESGO/FRAUDE,30/07/2022 21:55,,31/07/2022 21:55,16,LA LIBERTAD,JULCAN,CALAMARCA,NORTE
1000054,RECHAZADO,04/09/2022 05:38,04/09/2022 05:38,10/09/2022 05:38,18,AYACUCHO,CANGALLO,CANGALLO,CENTRO
1000055,DUPLICADO/RIESGO/FRAUDE,10/07/2022 00:16,,12/07/2022 00:16,1,JUNIN,CHUPACA,CHONGOS BAJO,CENTRO
1000056,ATENDIDO,10/05/2022 00:46,12/05/2022 00:46,22/05/2022 00:46,,SAN MARTIN,SAN MARTIN,JUAN GUERRA,NORTE
1000057,RECHAZADO,20/10/2022 13:44,20/10/2022 13:44,23/10/2022 13:44,22,PIURA,TALARA,PARIÑAS,NORTE
1000058,RECHAZADO,27/05/2022 21:08,27/05/2022 21:08,30/05/2022 21:08,82,AREQUIPA,ISLAY,DEAN VALDIVIA,SUR
1000059,PENDIENTE,19/08/2022 07:25,22/08/2022 07:25,,,HUANCAVELICA,HUAYTARA,TAMBO,CENTRO
1000060,PENDIENTE,10/04/2022 22:56,10/04/2022 22:56,,,APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,SUR
1000061,ATENDIDO,30/08/2022 18:59,30/08/2022 18:59,14/09/2022 18:59,,PIURA,PIURA,VEINTISEIS DE OCTUBRE,NORTE
1000062,RECHAZADO,12/04/2022 23:17,15/04/2022 23:17,19/04/2022 23:17,69,HUANUCO,AMBO,CONCHAMARCA,CENTRO
1000063,PENDIENTE,30/11/2022 05:04,03/12/2022 05:04,,,AREQUIPA,CASTILLA,MACHAGUAY,SUR
1000064,ATENDIDO,02/07/2022 16:12,03/07/2022 16:12,08/07/2022 16:12,,CUSCO,ESPINAR,OCORURO,SUR
1000065,RECHAZADO,10/12/2022 08:19,12/12/2022 08:19,18/12/2022 08:19,37,AREQUIPA,CAMANA,JOSE MARIA QUIMPER,SUR
1000066,RECHAZADO,16/04/2022 02:03,16/04/2022 02:03,29/04/2022 02:03,33,CAJAMARCA,CHOTA,CHIMBAN,NORTE
1000067,RECHAZADO,09/07/2022 14:09,09/07/2022 14:09,24/07/2022 14:09,12,ANCASH,HUARAZ,TARICA,CENTRO
1000068,DUPLICADO/RIESGO/FRAUDE,12/02/2022 12:58,,16/02/2022 12:58,46,JUNIN,SATIPO,PAMPA HERMOSA,CENTRO
1000069,PENDIENTE,06/10/2022 06:48,,,,AREQUIPA,CAYLLOMA,HUANCA,SUR
1000070,ATENDIDO,26/06/2022 22:50,26/06/2022 22:50,05/07/2022 22:50,,TACNA,TACNA,PALCA,SUR
1000071,RECHAZADO,08/04/2022 14:30,08/04/2022 14:30,10/04/2022 14:30,62,HUANUCO,PACHITEA,PANAO,CENTRO
1000072,DUPLICADO/RIESGO/FRAUDE,09/08/2022 01:32,,14/08/2022 01:32,82,LIMA,YAUYOS,LINCHA,LIMA
1000073,RECHAZADO,27/04/2022 03:33,27/04/2022 03:33,08/05/2022 03:33,47,AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,CENTRO
1000074,RECHAZADO,28/01/2022 23:43,28/01/2022 23:43,02/02/2022 23:43,39,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,CENTRO
1000075,ATENDIDO,15/12/2022 16:58,15/12/2022 16:58,17/12/2022 16:58,,ANCASH,HUARAZ,JANGAS,CENTRO
1000076,PENDIENTE,17/12/2022 18:21,17/12/2022 18:21,,,LIMA,LIMA,CIENEGUILLA,LIMA
1000077,RECHAZADO,07/01/2022 08:51,09/01/2022 08:51,15/01/2022 08:51,12,CAJAMARCA,SANTA CRUZ,UTICYACU,NORTE
1000078,DUPLICADO/RIESGO/FRAUDE,21/02/2022 12:00,,26/02/2022 12:00,20,LIMA,HUAROCHIRI,SAN JUAN DE IRIS,LIMA
1000079,PENDIENTE,08/08/2022 22:34,,,,TUMBES,ZARUMILLA,MATAPALO,NORTE
