id_suministro,id_medidor,anio_mes,energia_valle,energia_pico,energia_media,energia_total,monto_facturado
1000000,2000000,2024-01,106.88,99.64,58.06,264.58,172.98
1000000,2000000,2024-02,127.98,65.78,68.88,262.64,171.72
1000000,2000000,2024-03,116.47,77.11,55.67,249.25,163.01
1000000,2000000,2024-04,79.92,75.39,55.84,211.15,138.25
1000000,2000000,2024-05,81.31,106.2,65.2,252.71,165.26
1000000,2000000,2024-06,99.64,52.07,51.0,202.7,132.76
1000000,2000000,2024-07,121.47,93.16,79.2,293.83,191.99
1000000,2000000,2024-08,132.33,87.56,53.95,273.84,179.0
1000000,2000000,2024-09,112.34,93.82,39.65,245.81,160.77
1000000,2000000,2024-10,90.47,93.18,61.92,245.58,160.63
1000000,2000000,2024-11,161.47,85.97,55.2,302.64,197.72
1000000,2000000,2024-12,96.85,88.67,32.96,218.48,143.01
1000014,2000019,2024-01,66.95,120.03,46.7,233.68,152.89
1000014,2000019,2024-02,154.07,95.81,28.13,278.01,181.71
1000014,2000019,2024-03,132.17,29.55,75.54,237.25,155.22
1000014,2000019,2024-04,115.06,29.86,54.22,199.15,130.45
1000014,2000019,2024-05,106.79,102.2,74.88,283.86,185.51
1000014,2000019,2024-06,94.82,71.39,55.85,222.06,145.34
1000014,2000019,2024-07,93.36,42.09,61.25,196.69,128.85
1000014,2000019,2024-08,97.8,70.59,66.86,235.25,153.91
1000014,2000019,2024-09,109.53,117.2,64.48,291.2,190.28
1000014,2000019,2024-10,108.53,79.97,56.08,244.57,159.97
1000014,2000019,2024-11,124.48,160.49,60.78,345.75,225.73
1000014,2000019,2024-12,115.99,118.48,77.2,311.66,203.58
1000017,2000022,2024-01,102.61,82.54,60.42,245.57,160.62
1000017,2000022,2024-02,77.09,81.34,74.7,233.13,152.53
1000017,2000022,2024-03,49.41,92.8,77.19,219.41,143.62
1000017,2000022,2024-04,78.01,126.99,72.11,277.11,181.12
1000017,2000022,2024-05,78.7,110.97,51.93,241.6,158.04
1000017,2000022,2024-06,69.41,143.36,42.63,255.4,167.01
1000017,2000022,2024-07,118.53,110.57,58.09,287.19,187.67
1000017,2000022,2024-08,86.61,21.29,51.59,159.49,104.67
1000017,2000022,2024-09,94.73,62.74,63.59,221.06,144.69
1000017,2000022,2024-10,86.67,96.66,54.78,238.11,155.77
1000017,2000022,2024-11,70.99,96.0,67.02,234.02,153.11
1000017,2000022,2024-12,109.84,106.36,66.96,283.16,185.05
1000026,2000032,2024-01,97.08,78.5,66.18,241.76,158.14
1000026,2000032,2024-02,117.95,128.75,71.34,318.05,207.73
1000026,2000032,2024-03,60.01,84.47,64.95,209.42,137.13
1000026,2000032,2024-04,108.33,94.99,56.48,259.8,169.87
1000026,2000032,2024-05,77.42,99.33,46.67,223.43,146.23
1000026,2000032,2024-06,93.3,113.23,77.25,283.77,185.45
1000026,2000032,2024-07,106.3,103.89,69.64,279.82,182.88
1000026,2000032,2024-08,508.55,230.47,296.99,1036.0,674.4
1000026,2000032,2024-09,113.65,127.87,61.16,302.68,197.74
1000026,2000032,2024-10,82.48,121.49,74.05,278.02,181.72
