id_medidor,id_suministro,marca_medidor,tecnologia_medidor,numero_serie,fecha_instalacion,fecha_retiro,estado_medidor
2000000,1000000,Landis+Gyr,Electrónico,LAN-843XXX,2024-12-30,,ACTIVO
2000001,1000001,Actaris,Electrónico,ACT-816XXX,2024-08-13,,ACTIVO
2000002,1000002,Elster,AMI,ELS-536XXX,2024-02-08,2024-12-31,RETIRADO
2000003,1000002,Holley,Electrónico,HOL-527XXX,2024-12-31,2024-12-31,RETIRADO
2000004,1000002,Elster,Electrónico,ELS-871XXX,2024-12-31,,ACTIVO
2000005,1000003,Iskra,Electrónico,ISK-799XXX,2023-08-03,,ACTIVO
2000006,1000004,Itron,AMI,ITR-943XXX,2024-09-21,,ACTIVO
2000007,1000005,Holley,Electrónico,HOL-543XXX,2023-08-20,,ACTIVO
2000008,1000006,Landis+Gyr,AMI,LAN-187XXX,2024-01-06,2024-12-31,RETIRADO
2000009,1000006,Actaris,Electrónico,ACT-667XXX,2024-12-31,,ACTIVO
2000010,1000007,Iskra,AMI,ISK-335XXX,2024-06-22,2024-12-31,RETIRADO
2000011,1000007,Iskra,Electrónico,ISK-688XXX,2024-12-31,,ACTIVO
2000012,1000008,Actaris,AMI,ACT-338XXX,2023-08-15,,ACTIVO
2000013,1000009,Holley,AMI,HOL-894XXX,2024-10-02,,ACTIVO
2000014,1000010,Elster,AMI,ELS-305XXX,2023-11-21,,ACTIVO
2000015,1000011,Elster,AMI,ELS-208XXX,2024-08-02,,ACTIVO
2000016,1000012,Iskra,Electrónico,ISK-460XXX,2024-05-09,2024-12-31,RETIRADO
2000017,1000012,Itron,Electrónico,ITR-951XXX,2024-12-31,,ACTIVO
2000018,1000013,Holley,Electrónico,HOL-334XXX,2024-12-27,,ACTIVO
2000019,1000014,Iskra,AMI,ISK-158XXX,2024-04-02,,ACTIVO
2000020,1000015,Iskra,Electrónico,ISK-624XXX,2023-06-18,,ACTIVO
2000021,1000016,Holley,Electrónico,HOL-752XXX,2024-12-27,,ACTIVO
2000022,1000017,Holley,Electrónico,HOL-906XXX,2024-12-31,,ACTIVO
2000023,1000018,Elster,Electrónico,ELS-972XXX,2024-12-08,,ACTIVO
2000024,1000019,Elster,Electrónico,ELS-925XXX,2024-08-05,,ACTIVO
2000025,1000020,Elster,AMI,ELS-316XXX,2024-11-22,2024-12-31,RETIRADO
2000026,1000020,Landis+Gyr,AMI,LAN-292XXX,2024-12-31,,ACTIVO
2000027,1000021,Landis+Gyr,Electromecánico,LAN-565XXX,2021-11-18,,ACTIVO
2000028,1000022,Holley,AMI,HOL-174XXX,2023-05-19,2024-07-17,RETIRADO
2000029,1000023,Landis+Gyr,Electrónico,LAN-656XXX,2024-12-08,,ACTIVO
2000030,1000024,Actaris,AMI,ACT-498XXX,2022-08-23,,ACTIVO
2000031,1000025,Landis+Gyr,Electrónico,LAN-634XXX,2024-10-28,,ACTIVO
2000032,1000026,Elster,Electrónico,ELS-192XXX,2021-10-22,,ACTIVO
2000033,1000027,Itron,Electrónico,ITR-656XXX,2021-05-29,,ACTIVO
2000034,1000028,Actaris,Electrónico,ACT-354XXX,2021-01-05,,ACTIVO
2000035,1000029,Iskra,AMI,ISK-438XXX,2024-08-02,,ACTIVO
2000036,1000030,Actaris,Electrónico,ACT-757XXX,2024-09-30,,ACTIVO
2000037,1000031,Elster,Electrónico,ELS-955XXX,2024-09-28,,ACTIVO
2000038,1000032,Elster,Electrónico,ELS-224XXX,2023-07-06,,ACTIVO
2000039,1000033,Holley,AMI,HOL-737XXX,2024-04-05,,ACTIVO
2000040,1000034,Itron,AMI,ITR-983XXX,2023-03-24,,ACTIVO
2000041,1000035,Actaris,Electrónico,ACT-329XXX,2024-10-20,,ACTIVO
2000042,1000036,Iskra,AMI,ISK-999XXX,2023-12-08,,ACTIVO
2000043,1000037,Holley,Electrónico,HOL-401XXX,2023-11-10,,ACTIVO
2000044,1000038,Iskra,Electrónico,ISK-760XXX,2023-09-23,2024-09-22,RETIRADO
2000045,1000038,Elster,Electromecánico,ELS-624XXX,2024-11-07,,ACTIVO
2000046,1000039,Iskra,AMI,ISK-216XXX,2024-12-27,,ACTIVO
2000047,1000040,Iskra,Electrónico,ISK-799XXX,2024-12-24,,ACTIVO
2000048,1000041,Holley,AMI,HOL-678XXX,2024-01-19,,ACTIVO
2000049,1000042,Itron,Electrónico,ITR-712XXX,2024-12-23,,ACTIVO
2000050,1000043,Elster,AMI,ELS-632XXX,2024-04-27,,ACTIVO
2000051,1000044,Itron,Electrónico,ITR-892XXX,2024-02-10,,ACTIVO
2000052,1000045,Holley,Electrónico,HOL-523XXX,2024-10-05,,ACTIVO
2000053,1000046,Iskra,Electrónico,ISK-110XXX,2024-12-14,,ACTIVO
2000054,1000047,Elster,Electrónico,ELS-220XXX,2024-12-26,,ACTIVO
2000055,1000048,Actaris,Electrónico,ACT-712XXX,2024-12-30,2024-12-31,RETIRADO
2000056,1000048,Elster,AMI,ELS-974XXX,2024-12-31,,ACTIVO
2000057,1000049,Elster,Electrónico,ELS-287XXX,2023-05-03,,ACTIVO
2000058,1000050,Iskra,Electrónico,ISK-543XXX,2024-09-07,,ACTIVO
2000059,1000051,Actaris,Electrónico,ACT-907XXX,2024-11-23,,ACTIVO
2000060,1000052,Iskra,Electromecánico,ISK-966XXX,2023-10-23,,ACTIVO
2000061,1000053,Actaris,Electromecánico,ACT-308XXX,2022-05-20,,ACTIVO
2000062,1000054,Elster,Electrónico,ELS-437XXX,2024-05-01,,ACTIVO
2000063,1000055,Iskra,Electrónico,ISK-639XXX,2024-03-13,,ACTIVO
2000064,1000056,Holley,Electrónico,HOL-901XXX,2024-01-07,2024-10-09,RETIRADO
2000065,1000057,Itron,AMI,ITR-226XXX,2024-03-20,,ACTIVO
2000066,1000058,Elster,Electrónico,ELS-761XXX,2024-03-05,,ACTIVO
2000067,1000059,Iskra,AMI,ISK-977XXX,2024-12-23,,ACTIVO
2000068,1000060,Elster,AMI,ELS-672XXX,2024-09-03,2024-12-31,RETIRADO
2000069,1000060,Elster,AMI,ELS-333XXX,2024-12-31,,ACTIVO
2000070,1000061,Holley,Electrónico,HOL-939XXX,2024-12-07,,ACTIVO
2000071,1000062,Elster,Electrónico,ELS-538XXX,2024-11-24,,ACTIVO
2000072,1000063,Actaris,AMI,ACT-497XXX,2024-10-05,,ACTIVO
2000073,1000064,Itron,Electromecánico,ITR-317XXX,2023-07-08,,ACTIVO
2000074,1000065,Holley,Electrónico,HOL-761XXX,2024-10-05,,ACTIVO
2000075,1000066,Landis+Gyr,AMI,LAN-344XXX,2023-02-08,2024-02-28,RETIRADO
2000076,1000066,Holley,Electrónico,HOL-626XXX,2024-12-27,,ACTIVO
2000077,1000067,Itron,AMI,ITR-643XXX,2024-09-18,,ACTIVO
2000078,1000068,Iskra,AMI,ISK-202XXX,2022-12-04,,ACTIVO
2000079,1000069,Elster,AMI,ELS-865XXX,2024-11-03,,ACTIVO
2000080,1000070,Actaris,Electrónico,ACT-180XXX,2024-10-31,2024-12-31,RETIRADO
2000081,1000070,Actaris,Electrónico,ACT-706XXX,2024-12-31,2024-12-31,RETIRADO
2000082,1000070,Landis+Gyr,Electrónico,LAN-195XXX,2024-12-31,,ACTIVO
2000083,1000071,Landis+Gyr,AMI,LAN-539XXX,2024-12-03,,ACTIVO
2000084,1000072,Holley,AMI,HOL-898XXX,2024-12-09,,ACTIVO
2000085,1000073,Elster,Electrónico,ELS-448XXX,2024-12-23,,ACTIVO
2000086,1000074,Iskra,Electrónico,ISK-935XXX,2024-11-03,2024-12-31,RETIRADO
2000087,1000074,Elster,Electrónico,ELS-281XXX,2024-12-31,,ACTIVO
2000088,1000075,Actaris,AMI,ACT-680XXX,2024-12-13,2024-12-31,RETIRADO
2000089,1000075,Actaris,Electrónico,ACT-144XXX,2024-12-31,,ACTIVO
2000090,1000076,Landis+Gyr,AMI,LAN-575XXX,2024-11-06,,ACTIVO
2000091,1000077,Itron,Electrónico,ITR-841XXX,2023-07-26,,ACTIVO
2000092,1000078,Holley,Electrónico,HOL-722XXX,2024-12-19,,ACTIVO
2000093,1000079,Elster,AMI,ELS-444XXX,2023-11-20,,ACTIVO
2000094,1000080,Actaris,Electrónico,ACT-412XXX,2023-11-26,,ACTIVO
2000095,1000081,Iskra,Electromecánico,ISK-612XXX,2024-12-05,2024-12-31,RETIRADO
2000096,1000081,Landis+Gyr,AMI,LAN-106XXX,2024-12-31,,ACTIVO
2000097,1000082,Landis+Gyr,Electrónico,LAN-616XXX,2024-10-10,,ACTIVO
2000098,1000083,Iskra,Electrónico,ISK-616XXX,2024-07-08,,ACTIVO
2000099,1000084,Actaris,AMI,ACT-216XXX,2024-12-24,2024-12-31,RETIRADO
2000100,1000084,Landis+Gyr,Electrónico,LAN-633XXX,2024-12-31,,ACTIVO
2000101,1000085,Itron,Electrónico,ITR-238XXX,2021-10-21,,ACTIVO
2000102,1000086,Landis+Gyr,AMI,LAN-259XXX,2024-11-29,,ACTIVO
2000103,1000087,Landis+Gyr,Electrónico,LAN-578XXX,2024-11-08,,ACTIVO
2000104,1000088,Holley,Electrónico,HOL-657XXX,2024-12-28,,ACTIVO
2000105,1000089,Actaris,AMI,ACT-855XXX,2024-12-28,2024-12-31,RETIRADO
2000106,1000089,Actaris,AMI,ACT-155XXX,2024-12-31,,ACTIVO
2000107,1000090,Landis+Gyr,AMI,LAN-619XXX,2024-11-20,,ACTIVO
2000108,1000091,Landis+Gyr,Electrónico,LAN-192XXX,2024-07-28,,ACTIVO
2000109,1000092,Iskra,Electrónico,ISK-602XXX,2024-12-20,,ACTIVO
2000110,1000093,Itron,Electrónico,ITR-697XXX,2023-03-20,,ACTIVO
2000111,1000094,Actaris,AMI,ACT-165XXX,2022-05-10,2024-11-14,RETIRADO
2000112,1000094,Actaris,AMI,ACT-401XXX,2024-12-19,,ACTIVO
2000113,1000095,Elster,Electrónico,ELS-351XXX,2022-04-24,,ACTIVO
2000114,1000096,Holley,Electrónico,HOL-133XXX,2024-09-27,,ACTIVO
2000115,1000097,Itron,Electrónico,ITR-363XXX,2021-11-09,,ACTIVO
2000116,1000098,Elster,Electrónico,ELS-774XXX,2024-11-24,,ACTIVO
2000117,1000099,Actaris,Electrónico,ACT-442XXX,2023-11-09,2024-06-16,RETIRADO
2000118,1000100,Iskra,AMI,ISK-119XXX,2023-02-28,,ACTIVO
2000119,1000101,Itron,Electrónico,ITR-392XXX,2024-03-15,2024-12-10,RETIRADO
2000120,1000102,Landis+Gyr,Electrónico,LAN-845XXX,2024-07-18,2024-12-31,RETIRADO
2000121,1000102,Itron,Electrónico,ITR-811XXX,2024-12-31,,ACTIVO
2000122,1000103,Landis+Gyr,AMI,LAN-981XXX,2024-12-29,,ACTIVO
2000123,1000104,Actaris,Electrónico,ACT-120XXX,2024-10-20,,ACTIVO
2000124,1000105,Elster,Electrónico,ELS-984XXX,2024-12-29,,ACTIVO
2000125,1000106,Elster,Electrónico,ELS-335XXX,2024-11-04,,ACTIVO
2000126,1000107,Itron,Electrónico,ITR-485XXX,2024-12-15,,ACTIVO
