id_tarifa,codigo_tarifa,cod_tarifa,descripcion,nivel_tension,segmento_objetivo,tipo_cliente,cargo_fijo,cargo_energia,cargo_hp,cargo_fp,incluye_demanda,estado_tarifa,fecha_inicio_vigencia
1,BT2,BT2_COM,Tarifa comercial BT2 baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
2,BT2,BT2_GOB,Tarifa gobierno BT2 baja tensión,BT,GOBIERNO,Gobierno,1.0,0.6825,0.0,0.0,N,ACTIVO,2018-01-01
3,BT2,BT2_IND,Tarifa industrial BT2 baja tensión,BT,INDUSTRIAL,Industrial,0.99,0.6175,0.0,0.0,N,ACTIVO,2018-01-01
4,BT2,BT2_RES,Tarifa residencial BT2 baja tensión,BT,RESIDENCIAL,Residencial,1.0,0.65,0.0,0.0,N,ACTIVO,2018-01-01
5,BT3,BT3_COM,Tarifa comercial BT3 baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
6,BT3,BT3_GOB,Tarifa gobierno BT3 baja tensión,BT,GOBIERNO,Gobierno,1.0,0.6825,0.0,0.0,N,ACTIVO,2018-01-01
7,BT3,BT3_IND,Tarifa industrial BT3 baja tensión,BT,INDUSTRIAL,Industrial,1.0,0.6175,0.0,0.0,N,ACTIVO,2018-01-01
8,BT3,BT3_RES,Tarifa residencial BT3 baja tensión,BT,RESIDENCIAL,Residencial,1.0,0.65,0.0,0.0,N,ACTIVO,2018-01-01
9,BT4,BT4_COM,Tarifa comercial BT4 baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
10,BT4,BT4_GOB,Tarifa gobierno BT4 baja tensión,BT,GOBIERNO,Gobierno,1.0,0.6825,0.0,0.0,N,ACTIVO,2018-01-01
11,BT4,BT4_IND,Tarifa industrial BT4 baja tensión,BT,INDUSTRIAL,Industrial,0.99,0.6175,0.0,0.0,N,ACTIVO,2018-01-01
12,BT4,BT4_RES,Tarifa residencial BT4 baja tensión,BT,RESIDENCIAL,Residencial,1.0,0.65,0.0,0.0,N,ACTIVO,2018-01-01
13,BT5,BT5_COM,Tarifa comercial BT5 baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
14,BT5,BT5_GOB,Tarifa gobierno BT5 baja tensión,BT,GOBIERNO,Gobierno,0.99,0.6825,0.0,0.0,N,ACTIVO,2018-01-01
15,BT5,BT5_IND,Tarifa industrial BT5 baja tensión,BT,INDUSTRIAL,Industrial,1.0,0.6175,0.0,0.0,N,ACTIVO,2018-01-01
16,BT5,BT5_RES,Tarifa residencial BT5 baja tensión,BT,RESIDENCIAL,Residencial,1.0,0.65,0.0,0.0,N,ACTIVO,2018-01-01
17,BT5A,BT5A_COM,Tarifa comercial BT5A baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
18,BT5A,BT5A_GOB,Tarifa gobierno BT5A baja tensión,BT,GOBIERNO,Gobierno,1.0,0.6825,0.0,0.0,N,ACTIVO,2018-01-01
19,BT5A,BT5A_IND,Tarifa industrial BT5A baja tensión,BT,INDUSTRIAL,Industrial,1.0,0.6175,0.0,0.0,N,ACTIVO,2018-01-01
20,BT5A,BT5A_RES,Tarifa residencial BT5A baja tensión,BT,RESIDENCIAL,Residencial,1.0,0.65,0.0,0.0,N,ACTIVO,2018-01-01
21,BT5CA,BT5CA_AP,Tarifa alumbrado público BT5CA baja tensión,BT,ALUMBRADO_PUBLICO,Alumbrado Público,1.0,0.4225,0.0,0.0,N,ACTIVO,2018-01-01
22,BT5D,BT5D_RES,Tarifa residencial BT5D baja tensión,BT,RESIDENCIAL,Residencial,1.0,0.65,0.0,0.0,N,ACTIVO,2018-01-01
23,BT5E,BT5E_COM,Tarifa comercial BT5E baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
24,BT5E,BT5E_IND,Tarifa industrial BT5E baja tensión,BT,INDUSTRIAL,Industrial,1.0,0.6175,0.0,0.0,N,ACTIVO,2018-01-01
25,BT5E,BT5E_RES,Tarifa residencial BT5E baja tensión,BT,RESIDENCIAL,Residencial,1.0,0.65,0.0,0.0,N,ACTIVO,2018-01-01
26,BT5F,BT5F_COM,Tarifa comercial BT5F baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
27,BT6,BT6_COM,Tarifa comercial BT6 baja tensión,BT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.715,0.0,0.0,N,ACTIVO,2018-01-01
28,BT6,BT6_GOB,Tarifa gobierno BT6 baja tensión,BT,GOBIERNO,Gobierno,1.0,0.6825,0.0,0.0,N,ACTIVO,2018-01-01
29,MT2,MT2_COM,Tarifa comercial MT2 media tensión,MT,COMERCIAL/OTROS/AGRICOLA,Comercial,1.0,0.5558,0.0,0.0,N,ACTIVO,2018-01-01
30,MT2,MT2_GOB,Tarifa gobierno MT2 media tensión,MT,GOBIERNO,Gobierno,1.0,0.5265,0.0,0.0,N,ACTIVO,2018-01-01
31,MT2,MT2_IND,Tarifa industrial MT2 media tensión,MT,INDUSTRIAL,Industrial,1.0,0.4973,0.0,0.0,N,ACTIVO,2018-01-01
32,MT2,MT2_RES,Tarifa residencial MT2 media tensión,MT,RESIDENCIAL,Residencial,1.0,0.585,0.0,0.0,N,ACTIVO,2018-01-01
