id_suministro,id_medidor,anio_mes,energia_total_kwh,demanda_max_kw,n_registros,n_registros_error
1001973,1384,2025-10,537.9895,28.38,744,15
1005845,311,2025-10,547.1881,47.025,744,8
1005845,312,2025-10,682.2722,60.81999999999999,744,14
1013497,217,2025-10,574.9462,46.155,744,12
1039828,426,2025-10,559.9009,34.03,744,14
1042146,2080,2025-10,550.6566,49.2,744,12
1048635,232,2025-10,578.8406,53.5,744,15
1049232,1820,2025-10,529.7184,51.044999999999995,744,10
1049232,1821,2025-10,457.1791,7.7,744,11
1055138,228,2025-10,535.9047,58.375,744,11
1062764,911,2025-10,453.0514,1.46,744,2
1062764,912,2025-10,577.5262,52.775000000000006,744,15
1069609,1191,2025-10,532.15,49.64,744,9
1070773,1678,2025-10,628.5508,49.295,744,9
1071687,317,2025-10,601.3571,52.1,744,12
1071687,318,2025-10,625.8731,47.82,744,8
1076013,2054,2025-10,506.3744,26.025,744,12
1085750,1499,2025-10,504.4899,39.105000000000004,744,10
1087928,499,2025-10,528.7867,52.61,744,12
1088866,2219,2025-10,507.1245,56.275,744,7
1088935,1529,2025-10,563.8538,42.085,744,10
1088935,1530,2025-10,570.0037,46.29,744,6
1089175,163,2025-10,611.6844,54.48499999999999,744,19
1089770,299,2025-10,595.4775,67.635,744,10
1091920,1095,2025-10,504.6996,35.46,744,5
1091920,1096,2025-10,523.3024,28.285,744,14
1094953,902,2025-10,530.9886,39.79,744,13
1099428,2170,2025-10,523.2639,45.145,744,14
1099428,2171,2025-10,655.9832,58.475,744,18
1107955,1405,2025-10,596.7337,56.845,744,14
1107955,1406,2025-10,488.1237,29.744999999999997,744,9
1129303,1367,2025-10,591.0922,55.595000000000006,744,15
1130653,1361,2025-10,480.2472,27.439999999999998,744,9
1130653,1362,2025-10,485.8528,25.235000000000003,744,12
1148498,830,2025-10,542.5169999999999,41.11,744,10
1154218,872,2025-10,570.556,46.46,744,8
1155234,2009,2025-10,559.7292,46.69,744,13
1160079,199,2025-10,742.978,50.339999999999996,744,16
1168654,569,2025-10,602.0840000000001,67.75999999999999,744,10
1175985,1231,2025-10,515.999,35.995,744,11
1175985,1232,2025-10,494.5802,22.564999999999998,744,6
1183813,82,2025-10,601.0444,62.365,744,11
1195794,1877,2025-10,474.6422,18.099999999999998,744,8
1209464,2325,2025-10,445.5841,1.644,744,11
1217605,27,2025-10,614.495,54.48,744,12
1233839,12,2025-10,482.5396,37.46,744,6
1236729,1201,2025-10,565.8611999999999,48.97,744,14
1238610,1507,2025-10,560.2909,54.825,744,13
1239011,553,2025-10,586.6563,49.745,744,13
1242729,530,2025-10,601.7835,62.105,744,11
1254477,1952,2025-10,572.168,55.125,744,9
1273651,812,2025-10,571.3233,50.01,744,9
1292302,133,2025-10,560.1456000000001,53.98500000000001,744,8
1293033,2079,2025-10,608.9276,40.68,744,10
1296928,1981,2025-10,453.2508,6.4750000000000005,744,14
1297312,1934,2025-10,652.661,58.545,744,17
1297324,1710,2025-10,541.4264000000001,56.364999999999995,744,13
1297851,1895,2025-10,559.3006,47.575,744,13
1300467,1727,2025-10,491.7287,40.02,744,8
1304126,1993,2025-10,578.1874,70.00999999999999,744,12
1305858,1243,2025-10,602.3997,44.13,744,11
1309197,1132,2025-10,561.887,52.434999999999995,744,10
1309406,1130,2025-10,649.8082,55.015,744,12
1317123,1442,2025-10,555.748,51.15,744,7
1317800,1430,2025-10,544.857,60.480000000000004,744,10
1317800,1431,2025-10,497.671,50.2,744,13
1324375,1589,2025-10,516.8064,29.93,744,13
1326493,1288,2025-10,491.5391,39.09,744,10
1333405,983,2025-10,8342.3974,641.8000000000001,744,16
1333405,984,2025-10,8637.7931,813.5749999999999,744,10
1346976,1030,2025-10,464.8183,10.145,744,10
1348825,2004,2025-10,651.2245,39.675,744,11
