City,Anio,Dias_Criticos
Ahmedabad,2015,182
Bengaluru,2015,19
Chennai,2015,44
Delhi,2015,313
Hyderabad,2015,41
Lucknow,2015,93
Patna,2015,74
Ahmedabad,2016,102
Bengaluru,2016,12
Chennai,2016,38
Delhi,2016,278
Gurugram,2016,129
Hyderabad,2016,25
Lucknow,2016,193
Patna,2016,182
Ahmedabad,2017,58
Amaravati,2017,13
Amritsar,2017,67
Bengaluru,2017,8
Brajrajnagar,2017,6
Chennai,2017,17
Delhi,2017,231
Gurugram,2017,243
Hyderabad,2017,5
Jaipur,2017,53
Jorapokhar,2017,3
Lucknow,2017,217
Patna,2017,127
Thiruvananthapuram,2017,1
Visakhapatnam,2017,18
Ahmedabad,2018,351
Amaravati,2018,21
Amritsar,2018,22
Bengaluru,2018,2
Brajrajnagar,2018,68
Chennai,2018,14
Delhi,2018,225
Gurugram,2018,195
Jaipur,2018,51
Jorapokhar,2018,74
Kolkata,2018,65
Lucknow,2018,215
Mumbai,2018,4
Patna,2018,190
Talcher,2018,81
Thiruvananthapuram,2018,2
Visakhapatnam,2018,34
Ahmedabad,2019,335
Amaravati,2019,21
Amritsar,2019,29
Bhopal,2019,29
Brajrajnagar,2019,68
Chandigarh,2019,23
Chennai,2019,13
Delhi,2019,194
Gurugram,2019,154
Guwahati,2019,63
Jaipur,2019,18
Jorapokhar,2019,76
Kolkata,2019,99
Lucknow,2019,167
Mumbai,2019,20
Patna,2019,159
Talcher,2019,85
Visakhapatnam,2019,38
Ahmedabad,2020,64
Amritsar,2020,3
Bhopal,2020,6
Brajrajnagar,2020,14
Chennai,2020,1
Delhi,2020,60
Gurugram,2020,32
Guwahati,2020,70
Jorapokhar,2020,20
Kochi,2020,2
Kolkata,2020,34
Lucknow,2020,50
Mumbai,2020,12
Patna,2020,49
Talcher,2020,39
Thiruvananthapuram,2020,1
Visakhapatnam,2020,2
