Ciudad,AQI_Promedio
Ahmedabad,300.2150323544052
Delhi,258.19611747137878
Lucknow,205.38725734196117
Gurugram,194.82132221560454
Patna,189.07481162540367
Guwahati,138.15737051792829
Jaipur,131.27917414721725
Talcher,130.45945945945945
Kolkata,130.2051597051597
Bhopal,127.77162629757785
Brajrajnagar,114.23240938166312
Amritsar,110.59049959049959
Chennai,107.37829766052762
Jorapokhar,105.03250641573995
Hyderabad,102.34795613160519
Kochi,101.70987654320987
Chandigarh,94.911184210526315
Visakhapatnam,93.9281805745554
Bengaluru,89.670482827277255
Ernakulam,87.228395061728392
Amaravati,84.27655099894848
Thiruvananthapuram,71.7841726618705
Coimbatore,65.07772020725389
Mumbai,40.641114982578394
Shillong,35.574193548387093
Aizawl,34.150442477876105
